 An,Ac,Reco,NEE
   0.00000000     ,   0.00000000     ,   1.44904947     ,   1.44904947    
   0.00000000     ,   0.00000000     ,   1.37146401     ,   1.37146401    
   0.00000000     ,   0.00000000     ,   1.37146401     ,   1.37146401    
   0.00000000     ,   0.00000000     ,   1.44904947     ,   1.44904947    
   0.00000000     ,   0.00000000     ,   1.61158121     ,   1.61158121    
   0.00000000     ,   0.00000000     ,   1.87303364     ,   1.87303364    
   0.00000000     ,   0.00000000     ,   2.25170350     ,   2.25170350    
   0.00000000     ,   0.00000000     ,   2.76503348     ,   2.76503348    
   0.00000000     ,   0.00000000     ,   3.42009616     ,   3.42009616    
   0.00000000     ,   0.00000000     ,   4.19978905     ,   4.19978905    
   0.00000000     ,   0.00000000     ,   5.04885721     ,   5.04885721    
   0.00000000     ,   0.00000000     ,   5.86795044     ,   5.86795044    
   0.00000000     ,   0.00000000     ,   6.52612638     ,   6.52612638    
   0.00000000     ,   0.00000000     ,   6.89531612     ,   6.89531612    
   0.00000000     ,   0.00000000     ,   6.89531612     ,   6.89531612    
   0.00000000     ,   0.00000000     ,   6.52612638     ,   6.52612638    
   0.00000000     ,   0.00000000     ,   5.86795044     ,   5.86795044    
   0.00000000     ,   0.00000000     ,   5.04889250     ,   5.04889250    
   0.00000000     ,   0.00000000     ,   4.19981813     ,   4.19981813    
   0.00000000     ,   0.00000000     ,   3.42009616     ,   3.42009616    
   0.00000000     ,   0.00000000     ,   2.76503348     ,   2.76503348    
   0.00000000     ,   0.00000000     ,   2.25170350     ,   2.25170350    
   0.00000000     ,   0.00000000     ,   1.87303364     ,   1.87303364    
   0.00000000     ,   0.00000000     ,   1.61158121     ,   1.61158121    
   0.00000000     ,   0.00000000     ,   1.55780089     ,   1.55780089    
   0.00000000     ,   0.00000000     ,   1.48450375     ,   1.48450375    
   0.00000000     ,   0.00000000     ,   1.48450375     ,   1.48450375    
   0.00000000     ,   0.00000000     ,   1.55780089     ,   1.55780089    
   0.00000000     ,   0.00000000     ,   1.70979190     ,   1.70979190    
   0.00000000     ,   0.00000000     ,   1.95038736     ,   1.95038736    
   0.00000000     ,   0.00000000     ,   2.29167223     ,   2.29167223    
   0.00000000     ,   0.00000000     ,   2.74322081     ,   2.74322081    
   0.00000000     ,   0.00000000     ,   3.30463457     ,   3.30463457    
   0.00000000     ,   0.00000000     ,   3.95577598     ,   3.95577598    
   0.00000000     ,   0.00000000     ,   4.64797020     ,   4.64797020    
   0.00000000     ,   0.00000000     ,   5.30201483     ,   5.30201483    
   0.00000000     ,   0.00000000     ,   5.81931973     ,   5.81931973    
