-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2001 through 12/31/2009 
Location: Latitude  47.0   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 438.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M
2000,12,31,18,3.19
2000,12,31,19,3.1
2000,12,31,20,2.85
2000,12,31,21,2.43
2000,12,31,22,1.84
2000,12,31,23,1.1
2001,1,1,0,0.29
2001,1,1,1,0.43
2001,1,1,2,1.02
2001,1,1,3,1.31
2001,1,1,4,1.5
2001,1,1,5,1.8
2001,1,1,6,2.14
2001,1,1,7,2.33
2001,1,1,8,2.37
2001,1,1,9,3.09
2001,1,1,10,3.36
2001,1,1,11,3.42
2001,1,1,12,3.79
2001,1,1,13,4.32
2001,1,1,14,4.62
2001,1,1,15,3.93
2001,1,1,16,3.52
2001,1,1,17,4.31
2001,1,1,18,5.1
2001,1,1,19,5.84
2001,1,1,20,6.47
2001,1,1,21,6.47
2001,1,1,22,6.56
2001,1,1,23,6.73
2001,1,2,0,6.86
2001,1,2,1,6.9
2001,1,2,2,6.83
2001,1,2,3,6.87
2001,1,2,4,7.07
2001,1,2,5,7.4
2001,1,2,6,7.62
2001,1,2,7,7.52
2001,1,2,8,7.56
2001,1,2,9,8.21
2001,1,2,10,8.54
2001,1,2,11,7.94
2001,1,2,12,8.58
2001,1,2,13,7.85
2001,1,2,14,7.19
2001,1,2,15,6.03
2001,1,2,16,5.04
2001,1,2,17,5.72
2001,1,2,18,5.92
2001,1,2,19,5.69
2001,1,2,20,5.7
2001,1,2,21,5.6
2001,1,2,22,5.33
2001,1,2,23,4.71
2001,1,3,0,3.86
2001,1,3,1,3.67
2001,1,3,2,3.52
2001,1,3,3,3.26
2001,1,3,4,3.14
2001,1,3,5,3.09
2001,1,3,6,2.92
2001,1,3,7,2.74
2001,1,3,8,2.64
2001,1,3,9,2.53
2001,1,3,10,3.37
2001,1,3,11,2.8
2001,1,3,12,2.47
2001,1,3,13,2.53
2001,1,3,14,2.63
2001,1,3,15,2.18
2001,1,3,16,2.27
2001,1,3,17,2.9
2001,1,3,18,3.27
2001,1,3,19,3.95
2001,1,3,20,4.94
2001,1,3,21,5.06
2001,1,3,22,4.75
2001,1,3,23,4.8
2001,1,4,0,4.81
2001,1,4,1,4.72
2001,1,4,2,5.01
2001,1,4,3,5.69
2001,1,4,4,5.9
2001,1,4,5,6.26
2001,1,4,6,6.75
2001,1,4,7,6.88
2001,1,4,8,7.44
2001,1,4,9,8.03
2001,1,4,10,8.89
2001,1,4,11,9.5
2001,1,4,12,10.45
2001,1,4,13,11.6
2001,1,4,14,11.66
2001,1,4,15,11.4
2001,1,4,16,11.25
2001,1,4,17,11.36
2001,1,4,18,10.74
2001,1,4,19,10.23
2001,1,4,20,9.94
2001,1,4,21,10.22
2001,1,4,22,10.79
2001,1,4,23,10.72
2001,1,5,0,10.52
2001,1,5,1,10.61
2001,1,5,2,10.62
2001,1,5,3,10.85
2001,1,5,4,11.75
2001,1,5,5,11.99
2001,1,5,6,12.8
2001,1,5,7,13.48
2001,1,5,8,12.02
2001,1,5,9,10.19
2001,1,5,10,9.04
2001,1,5,11,8.28
2001,1,5,12,7.38
2001,1,5,13,6.63
2001,1,5,14,5.57
2001,1,5,15,3.59
2001,1,5,16,1.96
2001,1,5,17,1.51
2001,1,5,18,0.75
2001,1,5,19,2.48
2001,1,5,20,4.09
2001,1,5,21,6.02
2001,1,5,22,6.75
2001,1,5,23,7.48
2001,1,6,0,8.6
2001,1,6,1,9.66
2001,1,6,2,8.03
2001,1,6,3,8.18
2001,1,6,4,7.98
2001,1,6,5,8.3
2001,1,6,6,8.75
2001,1,6,7,9.26
2001,1,6,8,9.92
2001,1,6,9,10.61
2001,1,6,10,10.5
2001,1,6,11,10.52
2001,1,6,12,10.22
2001,1,6,13,9.73
2001,1,6,14,9.17
2001,1,6,15,8.39
2001,1,6,16,7.51
2001,1,6,17,7.32
2001,1,6,18,7.35
2001,1,6,19,7.33
2001,1,6,20,7.09
2001,1,6,21,6.62
