 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Mon            TOTout_C            TOTinp_C           POMinp1_C           POMinp2_C            DOMinp_C           POMdec1_C           POMdec2_C       POMdec2DOM1_C       POMdec2DOM2_C       POMdec2MOM1_C       POMdec2MOM2_C            MOMdec_C           MOM2DOM_C           QOM2DOM_C           DOM2QOM_C        DOM2QOMnet_C           QOM2MOM_C           MOM2QOM_C        MOM2QOMnet_C           DOM2MBA_C     MBA_mortality_C           MBA2EP1_C           MBA2EP2_C            MBA2EM_C            MBA_PM_C           EP2DOM1_C           EP2DOM2_C            EM2DOM_C           MBA2DOM_C          MBA2POM1_C          MBA2POM2_C           MBA2MBD_C           MBD2MBA_C        MBA2ENZNm1_C        MBA2ENZNm2_C        MBA2ENZNm3_C        MBA2ENZNm4_C        MBA2ENZNm5_C        MBA2ENZNm6_C        ENZNm2DOM1_C        ENZNm2DOM2_C        ENZNm2DOM3_C        ENZNm2DOM4_C        ENZNm2DOM5_C        ENZNm2DOM6_C            CO2_soil            CO2_root             CO2_gmo              CO2_gm          CO2_growth          CO2_maintn          CO2_ovflow      CO2_maintn_MBA      CO2_maintn_MBD      CO2_ovflow_MBA      CO2_ovflow_MBD           Nmine_dep             NH4_dep             NO3_dep             Nmn_net                 Nmn             Nmn_MBA             Nmn_MBD                 Nim             Nim_NH4             Nim_NO3                NFix              Nitrif           Denit_NO3           Denit_NO2            Denit_NO           Denit_N2O           NO_efflux          N2O_efflux           N2_efflux              Nim_VG          Nim_NH4_VG          Nim_NO3_VG       NO32_Leaching        NO3_Leaching        NO2_Leaching            TOTout_N            TOTinp_N           POMinp1_N           POMinp2_N            DOMinp_N           POMdec1_N           POMdec2_N       POMdec2DOM1_N       POMdec2DOM2_N       POMdec2MOM1_N       POMdec2MOM2_N            MOMdec_N           MOM2DOM_N           QOM2DOM_N           DOM2QOM_N        DOM2QOMnet_N           QOM2MOM_N           MOM2QOM_N        MOM2QOMnet_N           DOM2MBA_N     MBA_mortality_N           MBA2EP1_N           MBA2EP2_N            MBA2EM_N            MBA_PM_N           EP2DOM1_N           EP2DOM2_N            EM2DOM_N           MBA2DOM_N          MBA2POM1_N          MBA2POM2_N           MBA2MBD_N           MBD2MBA_N        MBA2ENZNm1_N        MBA2ENZNm2_N        MBA2ENZNm3_N        MBA2ENZNm4_N        MBA2ENZNm5_N        MBA2ENZNm6_N        ENZNm2DOM1_N        ENZNm2DOM2_N        ENZNm2DOM3_N        ENZNm2DOM4_N        ENZNm2DOM5_N        ENZNm2DOM6_N                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
    199801        0.539245E-05        0.357375E-06        0.250162E-07        0.132229E-06        0.200130E-06        0.291526E-06        0.992635E-04        0.218644E-06        0.744476E-04        0.728814E-07        0.248159E-04        0.212329E-05        0.212329E-05        0.407159E-03        0.633661E-03        0.226502E-03        0.000000E+00        0.000000E+00        0.000000E+00        0.781620E-05        0.185502E-12        0.460500E-10        0.352570E-09        0.179523E-08        0.219404E-08        0.704809E-08        0.705728E-08        0.709996E-08        0.927509E-13        0.927509E-14        0.834758E-13        0.183997E-13        0.365198E-05        0.310959E-11        0.611031E-14        0.502712E-13        0.418115E-14        0.230665E-15        0.126585E-13        0.240148E-09        0.240042E-09        0.240044E-09        0.240042E-09        0.240042E-09        0.240042E-09        0.563070E-05        0.238250E-06        0.539245E-05        0.539245E-05        0.478844E-05        0.604011E-06        0.000000E+00        0.596986E-06        0.702455E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.548405E-06        0.671847E-06        0.671847E-06        0.000000E+00        0.123442E-06        0.440591E-09        0.123001E-06        0.250159E-07        0.171089E-05        0.192310E-07        0.456751E-08        0.314705E-09        0.555142E-08        0.132700E-07        0.708566E-06       -0.125642E-02        0.859015E-06        0.469884E-07        0.812027E-06        0.377747E-07        0.346570E-07        0.311763E-08       -0.125480E-02        0.471913E-06        0.685178E-09        0.264457E-09        0.109629E-07        0.204346E-06        0.198527E-06        0.153259E-06        0.148895E-06        0.510864E-07        0.496317E-07        0.262980E-06        0.262980E-06        0.447012E-04        0.652068E-04        0.205056E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.728307E-06        0.250593E-13        0.153500E-10        0.117523E-09        0.598411E-09        0.731309E-09        0.234937E-08        0.235243E-08        0.236665E-08        0.125296E-13        0.125296E-14        0.112767E-13        0.247173E-14        0.553377E-06        0.103653E-11        0.203677E-14        0.167570E-13        0.139372E-14        0.768883E-16        0.421949E-14        0.800494E-10        0.800140E-10        0.800146E-10        0.800139E-10        0.800139E-10        0.800140E-10
    199802        0.217908E-04        0.137901E-06        0.965304E-08        0.510232E-07        0.772244E-07        0.273758E-06        0.754478E-04        0.205318E-06        0.565859E-04        0.684394E-07        0.188619E-04        0.211605E-05        0.211605E-05        0.502151E-03        0.529402E-03        0.272508E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.314898E-04        0.338746E-11        0.214559E-09        0.134305E-08        0.701486E-08        0.857586E-08        0.647001E-08        0.653436E-08        0.684691E-08        0.169373E-11        0.169373E-12        0.152435E-11        0.343372E-12        0.345658E-05        0.122887E-10        0.229651E-13        0.161383E-12        0.183675E-13        0.273286E-15        0.696779E-13        0.220642E-09        0.220025E-09        0.220032E-09        0.220025E-09        0.220024E-09        0.220027E-09        0.218827E-04        0.919338E-07        0.217908E-04        0.217908E-04        0.194199E-04        0.237093E-05        0.000000E+00        0.236448E-05        0.645457E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.178422E-05        0.221670E-05        0.221670E-05        0.000000E+00        0.432476E-06        0.435499E-08        0.428121E-06        0.246280E-07        0.242677E-05        0.122787E-07        0.430218E-08        0.172169E-09        0.763881E-08        0.528407E-08        0.113647E-05        0.570313E-06        0.811614E-06        0.910281E-07        0.720586E-06        0.272038E-07        0.237094E-07        0.349444E-08        0.255088E-05        0.464597E-06        0.264391E-09        0.102047E-09        0.423025E-08        0.191830E-06        0.150896E-06        0.143873E-06        0.113172E-06        0.479575E-07        0.377239E-07        0.258294E-06        0.258294E-06        0.460774E-04        0.442277E-04       -0.184974E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.260822E-05        0.374671E-12        0.715198E-10        0.447682E-09        0.233829E-08        0.285786E-08        0.215667E-08        0.217812E-08        0.228231E-08        0.187335E-12        0.187335E-13        0.168602E-12        0.379775E-13        0.523851E-06        0.409623E-11        0.765503E-14        0.537943E-13        0.612250E-14        0.910954E-16        0.232260E-13        0.735473E-10        0.733417E-10        0.733440E-10        0.733416E-10        0.733413E-10        0.733424E-10
    199803        0.565548E-04        0.219445E-05        0.153611E-06        0.811946E-06        0.122889E-05        0.234623E-06        0.546834E-04        0.175967E-06        0.410126E-04        0.586557E-07        0.136709E-04        0.210482E-05        0.210482E-05        0.502121E-03        0.471745E-03       -0.303756E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.817652E-04        0.273902E-09        0.665336E-09        0.338843E-08        0.182566E-07        0.225843E-07        0.596545E-08        0.617936E-08        0.728276E-08        0.136951E-09        0.136951E-10        0.123256E-09        0.355404E-10        0.296701E-05        0.871689E-10        0.647692E-12        0.337695E-11        0.143752E-12        0.195201E-16        0.726970E-12        0.205551E-09        0.201718E-09        0.201801E-09        0.201708E-09        0.201702E-09        0.201728E-09        0.580177E-04        0.146296E-05        0.565548E-04        0.565548E-04        0.504023E-04        0.615244E-05        0.000000E+00        0.614651E-05        0.593423E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.362499E-05        0.508741E-05        0.508741E-05        0.000000E+00        0.146242E-05        0.251531E-07        0.143727E-05        0.208415E-07        0.504197E-05        0.240301E-08        0.985016E-10        0.153736E-11        0.141017E-09        0.117925E-09        0.198754E-05        0.771988E-07        0.939834E-06        0.135776E-06        0.804059E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.300469E-05        0.533148E-06        0.420732E-08        0.162389E-08        0.673170E-07        0.164273E-06        0.109367E-06        0.123205E-06        0.820254E-07        0.410682E-07        0.273418E-07        0.254202E-06        0.254202E-06        0.410304E-04        0.360359E-04       -0.499451E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.619667E-05        0.296293E-10        0.221779E-09        0.112948E-08        0.608554E-08        0.746642E-08        0.198848E-08        0.205979E-08        0.242758E-08        0.148147E-10        0.148147E-11        0.133332E-10        0.384422E-11        0.449725E-06        0.290563E-10        0.215897E-12        0.112565E-11        0.479174E-13        0.650670E-17        0.242323E-12        0.685170E-10        0.672392E-10        0.672670E-10        0.672359E-10        0.672339E-10        0.672426E-10
    199804        0.200382E-03        0.243821E-04        0.170674E-05        0.902136E-05        0.136540E-04        0.230476E-06        0.428828E-04        0.172857E-06        0.321621E-04        0.576190E-07        0.107207E-04        0.272609E-05        0.272609E-05        0.387296E-03        0.197052E-03       -0.190244E-03        0.000000E+00        0.000000E+00        0.000000E+00        0.259514E-03        0.245202E-08        0.222257E-08        0.937777E-08        0.522435E-07        0.662959E-07        0.556122E-08        0.614353E-08        0.938090E-08        0.122601E-08        0.122601E-09        0.110341E-08        0.385083E-08        0.228729E-05        0.788060E-09        0.292122E-10        0.101675E-09        0.133261E-11        0.278653E-17        0.181656E-10        0.214967E-09        0.185099E-09        0.186917E-09        0.184396E-09        0.184345E-09        0.184809E-09        0.216637E-03        0.162547E-04        0.200382E-03        0.200382E-03        0.181851E-03        0.185315E-04        0.000000E+00        0.185260E-04        0.551610E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.967895E-05        0.149432E-04        0.149432E-04        0.000000E+00        0.526429E-05        0.249548E-06        0.501474E-05        0.205973E-07        0.144106E-04        0.000000E+00        0.000000E+00        0.778852E-14        0.000000E+00        0.375040E-15        0.508131E-05        0.325097E-04        0.150716E-05        0.319764E-06        0.118740E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.390982E-04        0.127274E-05        0.467466E-07        0.180427E-07        0.747946E-06        0.159252E-06        0.857777E-07        0.119439E-06        0.643333E-07        0.398130E-07        0.214444E-07        0.326517E-06        0.326517E-06        0.293455E-04        0.141311E-04       -0.152145E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.179935E-04        0.266719E-09        0.740858E-09        0.312592E-08        0.174145E-07        0.215480E-07        0.185374E-08        0.204784E-08        0.312697E-08        0.133360E-09        0.133360E-10        0.120024E-09        0.425853E-09        0.346753E-06        0.262686E-09        0.973741E-11        0.338915E-10        0.444202E-12        0.928843E-18        0.605521E-11        0.716557E-10        0.616996E-10        0.623057E-10        0.614652E-10        0.614482E-10        0.616029E-10
    199805        0.213979E-03        0.827681E-04        0.579376E-05        0.306242E-04        0.463501E-04        0.335125E-06        0.458750E-04        0.251344E-06        0.344063E-04        0.837813E-07        0.114687E-04        0.552850E-05        0.552850E-05        0.989855E-04        0.000000E+00       -0.989855E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.185806E-03        0.955803E-08        0.405212E-08        0.145890E-07        0.839525E-07        0.112152E-06        0.537388E-08        0.674027E-08        0.149518E-07        0.477901E-08        0.477901E-09        0.430111E-08        0.214498E-06        0.162136E-05        0.168631E-08        0.284010E-10        0.303310E-09        0.294310E-11        0.595046E-17        0.278836E-10        0.320540E-09        0.172593E-09        0.192054E-09        0.168749E-09        0.168488E-09        0.171584E-09        0.269158E-03        0.551787E-04        0.213979E-03        0.213979E-03        0.185806E-03        0.281735E-04        0.000000E+00        0.281683E-04        0.523128E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.740236E-05        0.104577E-04        0.104577E-04        0.000000E+00        0.305533E-05        0.228722E-07        0.303246E-05        0.860252E-07        0.109635E-04        0.000000E+00        0.000000E+00        0.839008E-14        0.000000E+00       -0.573916E-14        0.462998E-05        0.399210E-04        0.585292E-05        0.407769E-06        0.544515E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.504039E-04        0.321893E-05        0.158687E-06        0.612483E-07        0.253900E-05        0.215726E-06        0.918716E-07        0.161795E-06        0.689037E-07        0.539315E-07        0.229679E-07        0.657358E-06        0.657358E-06        0.737310E-05        0.000000E+00       -0.737310E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.108291E-04        0.156674E-08        0.135071E-08        0.486300E-08        0.279842E-07        0.357646E-07        0.179129E-08        0.224676E-08        0.498395E-08        0.783370E-09        0.783370E-10        0.705033E-09        0.359654E-07        0.245925E-06        0.562103E-09        0.946700E-11        0.101103E-09        0.981034E-12        0.198349E-17        0.929454E-11        0.106847E-09        0.575309E-10        0.640182E-10        0.562496E-10        0.561628E-10        0.571947E-10
    199806        0.163031E-03        0.136961E-03        0.958725E-05        0.506755E-04        0.766980E-04        0.497328E-06        0.601315E-04        0.372996E-06        0.450986E-04        0.124332E-06        0.150329E-04        0.101369E-04        0.101369E-04        0.876933E-05        0.000000E+00       -0.876933E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.141126E-03        0.282978E-11        0.391851E-08        0.116254E-07        0.700038E-07        0.855505E-07        0.525353E-08        0.728453E-08        0.202692E-07        0.141489E-11        0.141489E-12        0.127340E-11        0.103278E-09        0.257833E-05        0.182900E-09        0.684378E-12        0.116687E-10        0.389292E-12        0.616410E-14        0.425879E-11        0.373587E-09        0.158633E-09        0.188082E-09        0.154374E-09        0.153990E-09        0.157984E-09        0.254338E-03        0.913071E-04        0.163031E-03        0.163031E-03        0.141126E-03        0.219051E-04        0.000000E+00        0.219002E-04        0.488841E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.626545E-05        0.634709E-05        0.634709E-05        0.000000E+00        0.816458E-07        0.160774E-08        0.800381E-07        0.136907E-06        0.473928E-05        0.491017E-07        0.993093E-08        0.589463E-09        0.150965E-06        0.629568E-08        0.237390E-05        0.121630E-04        0.592360E-05        0.216207E-05        0.376153E-05        0.408961E-06        0.362636E-06        0.463249E-07        0.208758E-04        0.502536E-05        0.262589E-06        0.101351E-06        0.420142E-05        0.282979E-06        0.120459E-06        0.212234E-06        0.903446E-07        0.707447E-07        0.301149E-07        0.119494E-05        0.119494E-05        0.653199E-06        0.000000E+00       -0.653199E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.636464E-05        0.626032E-12        0.130617E-08        0.387513E-08        0.233346E-07        0.285165E-07        0.175118E-08        0.242818E-08        0.675641E-08        0.313016E-12        0.313016E-13        0.281714E-12        0.229053E-10        0.391278E-06        0.609666E-10        0.228126E-12        0.388957E-11        0.129764E-12        0.205470E-14        0.141960E-11        0.124529E-09        0.528776E-10        0.626941E-10        0.514579E-10        0.513299E-10        0.526615E-10
    199807        0.161964E-03        0.145850E-03        0.102095E-04        0.539646E-04        0.816761E-04        0.637792E-06        0.624202E-04        0.478344E-06        0.468151E-04        0.159448E-06        0.156050E-04        0.132683E-04        0.132683E-04        0.634171E-06        0.000000E+00       -0.634171E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.142911E-03        0.177473E-11        0.370545E-08        0.915273E-08        0.579083E-07        0.707683E-07        0.513691E-08        0.756423E-08        0.241171E-07        0.887363E-12        0.887363E-13        0.798627E-12        0.789682E-10        0.245032E-05        0.309314E-10        0.611301E-13        0.569793E-13        0.380653E-13        0.232454E-14        0.690033E-12        0.345737E-09        0.144999E-09        0.171978E-09        0.141103E-09        0.140745E-09        0.144531E-09        0.259198E-03        0.972334E-04        0.161964E-03        0.161964E-03        0.142911E-03        0.190528E-04        0.000000E+00        0.190483E-04        0.446996E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.640975E-05        0.641044E-05        0.641044E-05        0.000000E+00        0.688029E-09        0.221094E-09        0.466935E-09        0.162811E-06        0.429234E-05        0.505275E-08        0.699115E-08        0.436828E-09        0.624115E-07        0.889659E-08        0.270045E-05        0.510736E-05        0.467330E-05        0.261175E-05        0.206156E-05        0.205704E-07        0.115254E-07        0.904500E-08        0.125106E-04        0.532167E-05        0.279632E-06        0.107929E-06        0.447411E-05        0.314629E-06        0.124992E-06        0.235971E-06        0.937438E-07        0.786571E-07        0.312479E-07        0.154864E-05        0.154864E-05        0.472373E-07        0.000000E+00       -0.472373E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.641197E-05        0.611041E-12        0.123515E-08        0.305091E-08        0.193028E-07        0.235895E-07        0.171230E-08        0.252141E-08        0.803904E-08        0.305521E-12        0.305521E-13        0.274969E-12        0.272096E-10        0.371911E-06        0.103105E-10        0.203767E-13        0.189931E-13        0.126884E-13        0.774847E-15        0.230011E-12        0.115246E-09        0.483332E-10        0.573260E-10        0.470344E-10        0.469150E-10        0.481770E-10
    199808        0.138651E-03        0.130037E-03        0.910256E-05        0.481136E-04        0.728205E-04        0.620851E-06        0.530319E-04        0.465638E-06        0.397739E-04        0.155213E-06        0.132580E-04        0.126915E-04        0.126915E-04        0.307382E-07        0.000000E+00       -0.307382E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.125854E-03        0.307473E-08        0.299920E-08        0.629729E-08        0.418679E-07        0.542391E-07        0.497916E-08        0.756656E-08        0.263080E-07        0.153737E-08        0.153737E-09        0.138363E-08        0.157374E-06        0.166288E-05        0.442674E-10        0.301936E-12        0.272750E-12        0.406202E-13        0.256024E-15        0.378025E-12        0.318255E-09        0.132339E-09        0.156958E-09        0.128776E-09        0.128447E-09        0.131941E-09        0.225342E-03        0.866911E-04        0.138651E-03        0.138651E-03        0.125854E-03        0.127973E-04        0.000000E+00        0.127932E-04        0.412155E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.756206E-05        0.756207E-05        0.756207E-05        0.000000E+00        0.764607E-11        0.378197E-11        0.386410E-11        0.141884E-06        0.474170E-05        0.156116E-08        0.136398E-08        0.389263E-10        0.658202E-08        0.192844E-08        0.212795E-05       -0.171048E-05        0.557995E-05        0.303689E-05        0.254306E-05        0.376334E-08        0.257603E-08        0.118731E-08        0.600311E-05        0.479456E-05        0.249313E-06        0.962272E-07        0.398901E-05        0.271030E-06        0.106186E-06        0.203272E-06        0.796395E-07        0.677574E-07        0.265465E-07        0.146723E-05        0.146723E-05        0.228959E-08        0.000000E+00       -0.228959E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.575605E-05        0.150496E-08        0.999733E-09        0.209910E-08        0.139560E-07        0.185597E-07        0.165972E-08        0.252219E-08        0.876934E-08        0.752481E-09        0.752481E-10        0.677233E-09        0.771367E-07        0.252787E-06        0.147558E-10        0.100646E-12        0.909168E-13        0.135401E-13        0.853412E-16        0.126008E-12        0.106085E-09        0.441128E-10        0.523194E-10        0.429255E-10        0.428156E-10        0.439802E-10
    199809        0.904696E-04        0.809994E-04        0.566996E-05        0.299698E-04        0.453597E-04        0.501462E-06        0.378011E-04        0.376097E-06        0.283508E-04        0.125365E-06        0.945027E-05        0.968103E-05        0.968103E-05        0.157635E-08        0.000000E+00       -0.157635E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.837952E-04        0.158814E-07        0.232092E-08        0.427578E-08        0.297090E-07        0.521871E-07        0.477988E-08        0.736678E-08        0.271090E-07        0.794069E-08        0.794068E-09        0.714662E-08        0.949765E-06        0.960948E-06        0.111944E-09        0.122572E-11        0.302200E-11        0.113173E-12        0.117166E-15        0.941012E-12        0.297421E-09        0.121014E-09        0.143552E-09        0.117701E-09        0.117393E-09        0.120646E-09        0.144469E-03        0.539996E-04        0.904696E-04        0.904696E-04        0.833328E-04        0.713684E-05        0.000000E+00        0.713287E-05        0.397364E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.691789E-05        0.691789E-05        0.691789E-05        0.000000E+00        0.107174E-15        0.652607E-18        0.106521E-15        0.108996E-06        0.623664E-05        0.111759E-07        0.571086E-09        0.458190E-11        0.461581E-08        0.326011E-09        0.240392E-05       -0.155796E-04        0.444086E-05        0.138875E-05        0.305211E-05        0.604095E-07        0.588663E-07        0.154328E-08       -0.867408E-05        0.315998E-05        0.155297E-06        0.599396E-07        0.248474E-05        0.201825E-06        0.759899E-07        0.151369E-06        0.569924E-07        0.504563E-07        0.189975E-07        0.111095E-05        0.111095E-05        0.117417E-09        0.000000E+00       -0.117417E-09        0.000000E+00        0.000000E+00        0.000000E+00        0.382053E-05        0.794068E-08        0.773641E-09        0.142526E-08        0.990302E-08        0.200426E-07        0.159329E-08        0.245559E-08        0.903635E-08        0.397034E-08        0.397034E-09        0.357331E-08        0.474883E-06        0.151022E-06        0.373146E-10        0.408575E-12        0.100733E-11        0.377242E-13        0.390555E-16        0.313670E-12        0.991404E-10        0.403378E-10        0.478508E-10        0.392337E-10        0.391312E-10        0.402154E-10
    199810        0.636059E-04        0.306609E-04        0.214627E-05        0.113446E-04        0.171701E-04        0.534526E-06        0.434289E-04        0.400895E-06        0.325717E-04        0.133632E-06        0.108572E-04        0.119195E-04        0.119195E-04        0.557597E-09        0.514494E-09       -0.431050E-10        0.000000E+00        0.000000E+00        0.000000E+00        0.621176E-04        0.169830E-11        0.196257E-08        0.307646E-08        0.226939E-07        0.277346E-07        0.454775E-08        0.704117E-08        0.269707E-07        0.849153E-12        0.849153E-13        0.764238E-12        0.698421E-10        0.139297E-05        0.595876E-10        0.142567E-12        0.114000E-11        0.977487E-13        0.196967E-14        0.829546E-12        0.280139E-09        0.110672E-09        0.131447E-09        0.107588E-09        0.107296E-09        0.110359E-09        0.840465E-04        0.204406E-04        0.636059E-04        0.636059E-04        0.587869E-04        0.481904E-05        0.000000E+00        0.481515E-05        0.389088E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.274275E-05        0.274275E-05        0.274275E-05        0.000000E+00        0.319355E-13        0.153204E-15        0.317823E-13        0.739330E-07        0.290475E-05        0.270898E-07        0.544240E-08        0.117347E-09        0.203456E-07        0.452208E-08        0.163587E-05       -0.225166E-04        0.217738E-05        0.265654E-06        0.191172E-05        0.124575E-06        0.114186E-06        0.103889E-07       -0.185743E-04        0.148203E-05        0.587849E-07        0.226891E-07        0.940558E-06        0.206080E-06        0.879096E-07        0.154560E-06        0.659322E-07        0.515199E-07        0.219774E-07        0.135864E-05        0.135864E-05        0.294216E-10        0.247179E-10       -0.470363E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.253290E-05        0.842303E-12        0.654190E-09        0.102548E-08        0.756462E-08        0.924514E-08        0.151592E-08        0.234706E-08        0.899024E-08        0.421152E-12        0.421152E-13        0.379036E-12        0.346394E-10        0.232848E-06        0.198625E-10        0.475223E-13        0.380001E-12        0.325829E-13        0.656555E-15        0.276515E-12        0.933795E-10        0.368907E-10        0.438157E-10        0.358625E-10        0.357654E-10        0.367863E-10
