 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
      Year            TOTout_C            TOTinp_C           POMinp1_C           POMinp2_C            DOMinp_C           POMdec1_C           POMdec2_C       POMdec2DOM1_C       POMdec2DOM2_C       POMdec2MOM1_C       POMdec2MOM2_C            MOMdec_C           MOM2DOM_C           QOM2DOM_C           DOM2QOM_C        DOM2QOMnet_C           QOM2MOM_C           MOM2QOM_C        MOM2QOMnet_C           DOM2MBA_C     MBA_mortality_C           MBA2EP1_C           MBA2EP2_C            MBA2EM_C            MBA_PM_C           EP2DOM1_C           EP2DOM2_C            EM2DOM_C           MBA2DOM_C          MBA2POM1_C          MBA2POM2_C           MBA2MBD_C           MBD2MBA_C        MBA2ENZNm1_C        MBA2ENZNm2_C        MBA2ENZNm3_C        MBA2ENZNm4_C        MBA2ENZNm5_C        MBA2ENZNm6_C        ENZNm2DOM1_C        ENZNm2DOM2_C        ENZNm2DOM3_C        ENZNm2DOM4_C        ENZNm2DOM5_C        ENZNm2DOM6_C            CO2_soil            CO2_root             CO2_gmo              CO2_gm          CO2_growth          CO2_maintn          CO2_ovflow      CO2_maintn_MBA      CO2_maintn_MBD      CO2_ovflow_MBA      CO2_ovflow_MBD           Nmine_dep             NH4_dep             NO3_dep             Nmn_net                 Nmn             Nmn_MBA             Nmn_MBD                 Nim             Nim_NH4             Nim_NO3                NFix              Nitrif           Denit_NO3           Denit_NO2            Denit_NO           Denit_N2O           NO_efflux          N2O_efflux           N2_efflux              Nim_VG          Nim_NH4_VG          Nim_NO3_VG       NO32_Leaching        NO3_Leaching        NO2_Leaching            TOTout_N            TOTinp_N           POMinp1_N           POMinp2_N            DOMinp_N           POMdec1_N           POMdec2_N       POMdec2DOM1_N       POMdec2DOM2_N       POMdec2MOM1_N       POMdec2MOM2_N            MOMdec_N           MOM2DOM_N           QOM2DOM_N           DOM2QOM_N        DOM2QOMnet_N           QOM2MOM_N           MOM2QOM_N        MOM2QOMnet_N           DOM2MBA_N     MBA_mortality_N           MBA2EP1_N           MBA2EP2_N            MBA2EM_N            MBA_PM_N           EP2DOM1_N           EP2DOM2_N            EM2DOM_N           MBA2DOM_N          MBA2POM1_N          MBA2POM2_N           MBA2MBD_N           MBD2MBA_N        MBA2ENZNm1_N        MBA2ENZNm2_N        MBA2ENZNm3_N        MBA2ENZNm4_N        MBA2ENZNm5_N        MBA2ENZNm6_N        ENZNm2DOM1_N        ENZNm2DOM2_N        ENZNm2DOM3_N        ENZNm2DOM4_N        ENZNm2DOM5_N        ENZNm2DOM6_N                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
      1998        0.985978E-04        0.544626E-04        0.381238E-05        0.201512E-04        0.304991E-04        0.409641E-06        0.522030E-04        0.307231E-06        0.391523E-04        0.102410E-06        0.130508E-04        0.760226E-05        0.760226E-05        0.156765E-03        0.150692E-03       -0.607301E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.993029E-04        0.260449E-08        0.219545E-08        0.568602E-08        0.354952E-07        0.459811E-07        0.529132E-08        0.687241E-08        0.186252E-07        0.130225E-08        0.130225E-09        0.117202E-08        0.110009E-06        0.206116E-05        0.258673E-09        0.508332E-11        0.358260E-10        0.440722E-12        0.113674E-14        0.456074E-11        0.276820E-09        0.156376E-09        0.171650E-09        0.154022E-09        0.153812E-09        0.156045E-09        0.134906E-03        0.363084E-04        0.985978E-04        0.985978E-04        0.879351E-04        0.106627E-04        0.000000E+00        0.106578E-04        0.488691E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.465840E-05        0.552522E-05        0.552522E-05        0.000000E+00        0.866812E-06        0.251125E-07        0.841700E-06        0.733205E-07        0.506742E-05        0.124007E-07        0.338454E-08        0.152374E-09        0.226097E-07        0.408721E-08        0.223009E-05       -0.106995E-03        0.291411E-05        0.903048E-06        0.201106E-05        0.656151E-07        0.581862E-07        0.742891E-08       -0.101781E-03        0.227542E-05        0.104419E-06        0.403023E-07        0.167070E-05        0.208108E-06        0.104677E-06        0.156081E-06        0.785079E-07        0.520269E-07        0.261693E-07        0.881731E-06        0.881731E-06        0.139121E-04        0.131530E-04       -0.759132E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.551169E-05        0.938468E-09        0.731818E-09        0.189534E-08        0.118317E-07        0.153973E-07        0.176377E-08        0.229080E-08        0.620842E-08        0.469234E-09        0.469234E-10        0.422311E-09        0.486891E-07        0.317185E-06        0.862242E-10        0.169444E-11        0.119420E-10        0.146907E-12        0.378912E-15        0.152025E-11        0.922732E-10        0.521254E-10        0.572167E-10        0.513408E-10        0.512705E-10        0.520149E-10
      1999        0.518606E-04        0.547831E-04        0.383482E-05        0.202697E-04        0.306785E-04        0.496052E-06        0.150553E-04        0.372039E-06        0.112915E-04        0.124013E-06        0.376382E-05        0.863176E-05        0.863176E-05        0.213196E-08        0.210949E-08       -0.224708E-10        0.000000E+00        0.000000E+00        0.000000E+00        0.510140E-04        0.106885E-07        0.264529E-08        0.226875E-08        0.221310E-07        0.377336E-07        0.357341E-08        0.457788E-08        0.243900E-07        0.534427E-08        0.534427E-09        0.480984E-08        0.530571E-06        0.634471E-06        0.531796E-10        0.433561E-12        0.961458E-12        0.692058E-13        0.291232E-15        0.277113E-12        0.164154E-09        0.542214E-10        0.647073E-10        0.525986E-10        0.524130E-10        0.540639E-10        0.883827E-04        0.365221E-04        0.518606E-04        0.518606E-04        0.479973E-04        0.386339E-05        0.000000E+00        0.386021E-05        0.317464E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.289654E-05        0.289659E-05        0.289659E-05        0.000000E+00        0.524497E-10        0.232508E-11        0.501246E-10        0.350005E-07        0.168768E-05        0.360232E-08        0.732489E-09        0.127204E-10        0.964205E-08        0.720877E-09        0.848477E-06       -0.147691E-06        0.243278E-05        0.153962E-05        0.893151E-06        0.412362E-07        0.358687E-07        0.536757E-08        0.317552E-05        0.228610E-05        0.105033E-06        0.405395E-07        0.168053E-05        0.156674E-06        0.308700E-07        0.117506E-06        0.231525E-07        0.391686E-07        0.771751E-08        0.960024E-06        0.960024E-06        0.113089E-09        0.112061E-09       -0.102760E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.279457E-05        0.481453E-08        0.881764E-09        0.756250E-09        0.737699E-08        0.138295E-07        0.119114E-08        0.152596E-08        0.813001E-08        0.240727E-08        0.240727E-09        0.216654E-08        0.240722E-06        0.120317E-06        0.177265E-10        0.144520E-12        0.320486E-12        0.230686E-13        0.970772E-16        0.923712E-13        0.547180E-10        0.180738E-10        0.215691E-10        0.175329E-10        0.174710E-10        0.180213E-10
      2000        0.449438E-04        0.529565E-04        0.370695E-05        0.195939E-04        0.296556E-04        0.205602E-06        0.147754E-04        0.154202E-06        0.110815E-04        0.514006E-07        0.369385E-05        0.469537E-05        0.469537E-05        0.183505E-07        0.185077E-07        0.157247E-09        0.000000E+00        0.000000E+00        0.000000E+00        0.456192E-04        0.136753E-07        0.212415E-08        0.240359E-08        0.203912E-07        0.385943E-07        0.270403E-08        0.311221E-08        0.220010E-07        0.683765E-08        0.683765E-09        0.615388E-08        0.629467E-06        0.633373E-06        0.913334E-10        0.267841E-11        0.309227E-11        0.302870E-13        0.218854E-16        0.297109E-12        0.103642E-09        0.196774E-10        0.234581E-10        0.179264E-10        0.178385E-10        0.185896E-10        0.802481E-04        0.353043E-04        0.449438E-04        0.449438E-04        0.415234E-04        0.342036E-05        0.000000E+00        0.341695E-05        0.341473E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.219737E-05        0.220024E-05        0.220024E-05        0.000000E+00        0.287493E-08        0.100343E-08        0.187149E-08        0.195728E-07        0.106654E-05        0.137781E-08        0.558595E-10        0.361621E-12        0.227003E-08        0.554821E-10        0.507222E-06        0.500242E-06        0.212651E-05        0.151792E-05        0.608595E-06        0.658406E-07        0.640865E-07        0.175415E-08        0.319988E-05        0.222522E-05        0.101531E-06        0.391878E-07        0.162450E-05        0.463156E-07        0.314461E-07        0.347367E-07        0.235846E-07        0.115789E-07        0.786152E-08        0.506325E-06        0.506325E-06        0.887212E-09        0.894704E-09        0.749119E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.220081E-05        0.493283E-08        0.708049E-09        0.801198E-09        0.679707E-08        0.132392E-07        0.901343E-09        0.103740E-08        0.733366E-08        0.246642E-08        0.246642E-09        0.221978E-08        0.233397E-06        0.171151E-06        0.304445E-10        0.892804E-12        0.103076E-11        0.100956E-13        0.729514E-17        0.990362E-13        0.345472E-10        0.655914E-11        0.781936E-11        0.597548E-11        0.594618E-11        0.619653E-11
      2001        0.534799E-04        0.518499E-04        0.362950E-05        0.191845E-04        0.290360E-04        0.697396E-06        0.202845E-04        0.523047E-06        0.152134E-04        0.174349E-06        0.507113E-05        0.846234E-05        0.846234E-05        0.559822E-08        0.545546E-08       -0.142760E-09        0.000000E+00        0.000000E+00        0.000000E+00        0.532651E-04        0.679032E-08        0.254517E-08        0.259837E-08        0.231645E-07        0.350984E-07        0.247447E-08        0.274474E-08        0.220789E-07        0.339516E-08        0.339516E-09        0.305565E-08        0.289162E-06        0.670491E-06        0.942069E-10        0.281637E-11        0.188431E-11        0.172697E-13        0.907054E-17        0.325146E-12        0.102176E-09        0.867055E-11        0.974006E-11        0.611252E-11        0.606809E-11        0.651977E-11        0.880465E-04        0.345666E-04        0.534799E-04        0.534799E-04        0.491907E-04        0.428914E-05        0.000000E+00        0.428614E-05        0.299827E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.259953E-05        0.260484E-05        0.260484E-05        0.000000E+00        0.530889E-08        0.259800E-08        0.271090E-08        0.183048E-07        0.845029E-06        0.608027E-09        0.103473E-10        0.209884E-13        0.657316E-09        0.100904E-10        0.426850E-06        0.151412E-06        0.259768E-05        0.209903E-05        0.498657E-06        0.542892E-07        0.534365E-07        0.852662E-09        0.323025E-05        0.218833E-05        0.994096E-07        0.383690E-07        0.159055E-05        0.125837E-06        0.423793E-07        0.943777E-07        0.317845E-07        0.314592E-07        0.105948E-07        0.879009E-06        0.879009E-06        0.287502E-09        0.280751E-09       -0.675195E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.260586E-05        0.212616E-08        0.848388E-09        0.866124E-09        0.772151E-08        0.115622E-07        0.824822E-09        0.914913E-09        0.735965E-08        0.106308E-08        0.106308E-09        0.956772E-09        0.933383E-07        0.195091E-06        0.314023E-10        0.938789E-12        0.628105E-12        0.575656E-14        0.302351E-17        0.108382E-12        0.340588E-10        0.289018E-11        0.324669E-11        0.203751E-11        0.202270E-11        0.217326E-11
      2002        0.485075E-04        0.551483E-04        0.386038E-05        0.204049E-04        0.308830E-04        0.376540E-06        0.159300E-04        0.282405E-06        0.119475E-04        0.941350E-07        0.398249E-05        0.535353E-05        0.535353E-05        0.506695E-08        0.505533E-08       -0.116296E-10        0.000000E+00        0.000000E+00        0.000000E+00        0.485017E-04        0.145757E-07        0.254610E-08        0.234585E-08        0.220314E-07        0.414991E-07        0.254516E-08        0.254081E-08        0.224192E-07        0.728787E-08        0.728787E-09        0.655909E-08        0.632396E-06        0.550234E-06        0.102701E-09        0.621260E-11        0.199937E-11        0.397637E-14        0.114697E-17        0.280200E-12        0.966090E-10        0.620675E-11        0.442555E-11        0.208745E-11        0.206775E-11        0.243577E-11        0.852730E-04        0.367655E-04        0.485075E-04        0.485075E-04        0.447689E-04        0.373859E-05        0.000000E+00        0.373591E-05        0.268004E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.230195E-05        0.230572E-05        0.230572E-05        0.000000E+00        0.377426E-08        0.323272E-08        0.541532E-09        0.180345E-07        0.509913E-06        0.198025E-09        0.950073E-12        0.152207E-14        0.305775E-09        0.120033E-11        0.283910E-06       -0.140316E-06        0.240212E-05        0.212416E-05        0.277953E-06        0.469702E-07        0.466934E-07        0.276702E-09        0.259269E-05        0.229828E-05        0.105733E-06        0.408097E-07        0.169173E-05        0.569638E-07        0.332112E-07        0.427228E-07        0.249084E-07        0.142409E-07        0.830281E-08        0.535279E-06        0.535279E-06        0.265190E-09        0.264591E-09       -0.598641E-12        0.000000E+00        0.000000E+00        0.000000E+00        0.230626E-05        0.480792E-08        0.848699E-09        0.781949E-09        0.734381E-08        0.137824E-07        0.848388E-09        0.846935E-09        0.747307E-08        0.240396E-08        0.240396E-09        0.216357E-08        0.210581E-06        0.165563E-06        0.342336E-10        0.207087E-11        0.666458E-12        0.132546E-14        0.382323E-18        0.933999E-13        0.322030E-10        0.206892E-11        0.147518E-11        0.695817E-12        0.689251E-12        0.811923E-12
      2003        0.550629E-04        0.544403E-04        0.381082E-05        0.201429E-04        0.304866E-04        0.101347E-05        0.211756E-04        0.760106E-06        0.158817E-04        0.253369E-06        0.529389E-05        0.798154E-05        0.798154E-05        0.351757E-08        0.352245E-08        0.487997E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.551432E-04        0.123787E-07        0.275530E-08        0.249034E-08        0.236244E-07        0.412487E-07        0.261002E-08        0.248522E-08        0.227814E-07        0.618936E-08        0.618936E-09        0.557043E-08        0.513431E-06        0.625638E-06        0.151033E-09        0.908042E-11        0.501430E-11        0.456729E-14        0.661932E-18        0.310316E-12        0.127749E-09        0.797721E-11        0.448571E-11        0.714160E-12        0.704604E-12        0.100455E-11        0.913565E-04        0.362935E-04        0.550629E-04        0.550629E-04        0.506251E-04        0.443780E-05        0.000000E+00        0.443507E-05        0.272404E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.256673E-05        0.257688E-05        0.257688E-05        0.000000E+00        0.101418E-07        0.687248E-08        0.326935E-08        0.226257E-07        0.791927E-06        0.198906E-09        0.217935E-12        0.112147E-15        0.786595E-10        0.205347E-12        0.383353E-06        0.459732E-06        0.266504E-05        0.216833E-05        0.496708E-06        0.382850E-07        0.381389E-07        0.146015E-09        0.354640E-05        0.227468E-05        0.104376E-06        0.402858E-07        0.167002E-05        0.131535E-06        0.442575E-07        0.986513E-07        0.331931E-07        0.328838E-07        0.110644E-07        0.765874E-06        0.765874E-06        0.177972E-09        0.178200E-09        0.227743E-12        0.000000E+00        0.000000E+00        0.000000E+00        0.257883E-05        0.367806E-08        0.918432E-09        0.830114E-09        0.787479E-08        0.133014E-07        0.870006E-09        0.828407E-09        0.759380E-08        0.183903E-08        0.183903E-09        0.165513E-08        0.155534E-06        0.191304E-06        0.503444E-10        0.302681E-11        0.167143E-11        0.152243E-14        0.220644E-18        0.103439E-12        0.425829E-10        0.265907E-11        0.149524E-11        0.238053E-12        0.234868E-12        0.334852E-12
      2004        0.549524E-04        0.543974E-04        0.380782E-05        0.201270E-04        0.304626E-04        0.112477E-05        0.206335E-04        0.843576E-06        0.154751E-04        0.281192E-06        0.515838E-05        0.800750E-05        0.800750E-05        0.882757E-08        0.882185E-08       -0.571339E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.548236E-04        0.117708E-07        0.301427E-08        0.233637E-08        0.240973E-07        0.412187E-07        0.281277E-08        0.242261E-08        0.235218E-07        0.588538E-08        0.588538E-09        0.529684E-08        0.474329E-06        0.564387E-06        0.115729E-09        0.626813E-11        0.200414E-11        0.399232E-14        0.533054E-18        0.313694E-12        0.124556E-09        0.717801E-11        0.328342E-11        0.245860E-12        0.239808E-12        0.550467E-12        0.912173E-04        0.362649E-04        0.549524E-04        0.549524E-04        0.504119E-04        0.454055E-05        0.000000E+00        0.453802E-05        0.253058E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.253163E-05        0.254052E-05        0.254052E-05        0.000000E+00        0.888619E-08        0.779764E-08        0.108855E-08        0.213919E-07        0.685718E-06        0.195780E-09        0.134717E-12        0.376071E-16        0.526017E-10        0.144924E-12        0.364783E-06       -0.308965E-06        0.261129E-05        0.221500E-05        0.396292E-06        0.594545E-07        0.592186E-07        0.235885E-09        0.272656E-05        0.227325E-05        0.104294E-06        0.402541E-07        0.166870E-05        0.129015E-06        0.430627E-07        0.967609E-07        0.322970E-07        0.322536E-07        0.107657E-07        0.733560E-06        0.733560E-06        0.467138E-09        0.466873E-09       -0.264892E-12        0.000000E+00        0.000000E+00        0.000000E+00        0.254277E-05        0.372075E-08        0.100476E-08        0.778790E-09        0.803242E-08        0.135367E-07        0.937590E-09        0.807536E-09        0.784059E-08        0.186037E-08        0.186037E-09        0.167434E-08        0.152855E-06        0.175924E-06        0.385764E-10        0.208938E-11        0.668047E-12        0.133077E-14        0.177685E-18        0.104565E-12        0.415185E-10        0.239267E-11        0.109447E-11        0.819532E-13        0.799362E-13        0.183489E-12
      2005        0.490632E-04        0.531953E-04        0.372367E-05        0.196823E-04        0.297894E-04        0.901058E-06        0.163613E-04        0.675794E-06        0.122710E-04        0.225264E-06        0.409033E-05        0.629255E-05        0.629255E-05        0.147785E-08        0.148060E-08        0.275275E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.490616E-04        0.901004E-08        0.291325E-08        0.201533E-08        0.221964E-07        0.361351E-07        0.292729E-08        0.222914E-08        0.232034E-07        0.450502E-08        0.450502E-09        0.405452E-08        0.483257E-06        0.420754E-06        0.155071E-09        0.104214E-10        0.424177E-11        0.330879E-14        0.588809E-18        0.523197E-12        0.115812E-09        0.640273E-11        0.233980E-11        0.851301E-13        0.815753E-13        0.389706E-12        0.845267E-04        0.354635E-04        0.490632E-04        0.490632E-04        0.452628E-04        0.380036E-05        0.000000E+00        0.379814E-05        0.221346E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.229056E-05        0.229175E-05        0.229175E-05        0.000000E+00        0.119417E-08        0.783272E-09        0.410894E-09        0.178256E-07        0.779818E-06        0.272865E-09        0.368594E-13        0.776884E-17        0.226375E-10        0.376913E-13        0.384046E-06        0.288741E-06        0.227082E-05        0.187878E-05        0.392042E-06        0.815744E-07        0.814275E-07        0.146822E-09        0.302518E-05        0.223318E-05        0.101989E-06        0.393645E-07        0.163182E-05        0.940106E-07        0.339439E-07        0.705079E-07        0.254579E-07        0.235026E-07        0.848597E-08        0.552868E-06        0.552868E-06        0.736598E-10        0.737643E-10        0.104566E-12        0.000000E+00        0.000000E+00        0.000000E+00        0.229193E-05        0.359969E-08        0.971083E-09        0.671777E-09        0.739882E-08        0.126414E-07        0.975763E-09        0.743047E-09        0.773448E-08        0.179985E-08        0.179985E-09        0.161986E-08        0.195246E-06        0.137923E-06        0.516902E-10        0.347379E-11        0.141392E-11        0.110293E-14        0.196270E-18        0.174399E-12        0.386038E-10        0.213424E-11        0.779934E-12        0.283767E-13        0.271918E-13        0.129902E-12
      2006        0.481329E-04        0.544640E-04        0.381248E-05        0.201517E-04        0.304998E-04        0.882528E-06        0.162301E-04        0.661896E-06        0.121726E-04        0.220632E-06        0.405752E-05        0.524070E-05        0.524070E-05        0.304685E-08        0.304332E-08       -0.353393E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.486092E-04        0.145237E-07        0.271501E-08        0.206025E-08        0.215059E-07        0.408049E-07        0.282589E-08        0.210125E-08        0.221834E-07        0.726184E-08        0.726184E-09        0.653566E-08        0.764321E-06        0.450144E-06        0.175901E-09        0.100994E-10        0.547010E-11        0.138847E-13        0.658240E-18        0.575188E-12        0.154631E-09        0.953160E-11        0.433836E-11        0.354325E-13        0.277979E-13        0.513154E-12        0.844422E-04        0.363093E-04        0.481329E-04        0.481329E-04        0.445252E-04        0.360775E-05        0.000000E+00        0.360504E-05        0.270453E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.220879E-05        0.221354E-05        0.221354E-05        0.000000E+00        0.474184E-08        0.207891E-08        0.266292E-08        0.258774E-07        0.925443E-06        0.442637E-09        0.332761E-13        0.200025E-17        0.234268E-10        0.320976E-13        0.436080E-06       -0.165533E-06        0.218888E-05        0.165608E-05        0.532797E-06        0.902479E-07        0.898684E-07        0.379578E-09        0.254966E-05        0.227547E-05        0.104421E-06        0.403033E-07        0.167074E-05        0.837869E-07        0.340110E-07        0.628402E-07        0.255083E-07        0.209467E-07        0.850275E-08        0.443370E-06        0.443370E-06        0.154711E-09        0.154524E-09       -0.186666E-12        0.000000E+00        0.000000E+00        0.000000E+00        0.221406E-05        0.512309E-08        0.905002E-09        0.686751E-09        0.716865E-08        0.138835E-07        0.941962E-09        0.700416E-09        0.739447E-08        0.256154E-08        0.256154E-09        0.230539E-08        0.271534E-06        0.157194E-06        0.586338E-10        0.336645E-11        0.182337E-11        0.462823E-14        0.219414E-18        0.191729E-12        0.515438E-10        0.317720E-11        0.144612E-11        0.118108E-13        0.926596E-14        0.171051E-12
      2007        0.441353E-04        0.484788E-04        0.339352E-05        0.179372E-04        0.271482E-04        0.629863E-06        0.158037E-04        0.472397E-06        0.118528E-04        0.157466E-06        0.395092E-05        0.407552E-05        0.407552E-05        0.245160E-10        0.193171E-10       -0.519888E-11        0.000000E+00        0.000000E+00        0.000000E+00        0.435817E-04        0.141422E-07        0.232067E-08        0.179214E-08        0.185225E-07        0.367775E-07        0.264102E-08        0.201726E-08        0.209769E-07        0.707111E-08        0.707111E-09        0.636399E-08        0.722990E-06        0.531796E-06        0.176282E-09        0.119263E-10        0.771059E-11        0.209569E-13        0.670134E-18        0.640703E-12        0.167278E-09        0.102502E-10        0.543410E-11        0.228501E-13        0.947278E-14        0.565713E-12        0.764546E-04        0.323193E-04        0.441353E-04        0.441353E-04        0.410777E-04        0.305756E-05        0.000000E+00        0.305428E-05        0.328239E-08        0.000000E+00        0.000000E+00        0.460000E-06        0.340000E-06        0.120000E-06        0.193473E-05        0.194168E-05        0.194168E-05        0.000000E+00        0.695033E-08        0.336077E-08        0.358956E-08        0.280966E-07        0.108862E-05        0.724461E-09        0.438783E-13        0.695241E-18        0.346262E-10        0.414457E-13        0.509186E-06        0.190623E-05        0.184478E-05        0.122620E-05        0.618575E-06        0.910985E-07        0.905882E-07        0.510324E-09        0.435129E-05        0.207596E-05        0.929464E-07        0.358744E-07        0.148714E-05        0.551331E-07        0.332682E-07        0.413498E-07        0.249511E-07        0.137833E-07        0.831704E-08        0.331723E-06        0.331723E-06        0.107422E-11        0.850641E-12       -0.223581E-12        0.000000E+00        0.000000E+00        0.000000E+00        0.189601E-05        0.457203E-08        0.773556E-09        0.597380E-09        0.617418E-08        0.121171E-07        0.880341E-09        0.672420E-09        0.699230E-08        0.228602E-08        0.228602E-09        0.205741E-08        0.235760E-06        0.180169E-06        0.587608E-10        0.397544E-11        0.257020E-11        0.698564E-14        0.223378E-18        0.213568E-12        0.557592E-10        0.341675E-11        0.181137E-11        0.761670E-14        0.315759E-14        0.188571E-12
