 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
       Day        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  19980101        0.375000E-06       -0.278000E+01        0.158000E+00       -0.326500E-01        0.564700E+01
  19980102        0.833333E-06       -0.222000E+01        0.161000E+00       -0.308840E-01        0.564700E+01
  19980103        0.145833E-05       -0.278000E+01        0.163000E+00       -0.297860E-01        0.564700E+01
  19980104        0.250000E-05       -0.278000E+01        0.173000E+00       -0.250820E-01        0.564700E+01
  19980105        0.916667E-06       -0.222000E+01        0.176000E+00       -0.238840E-01        0.564700E+01
  19980106        0.191667E-05       -0.222000E+01        0.177000E+00       -0.235030E-01        0.564700E+01
  19980107        0.916667E-06       -0.222000E+01        0.177000E+00       -0.235030E-01        0.564700E+01
  19980108        0.833333E-06       -0.167000E+01        0.175000E+00       -0.242740E-01        0.564700E+01
  19980109        0.170833E-05       -0.167000E+01        0.162000E+00       -0.303280E-01        0.564700E+01
  19980110        0.179167E-05       -0.167000E+01        0.178000E+00       -0.231310E-01        0.564700E+01
  19980111        0.150000E-05       -0.222000E+01        0.182000E+00       -0.217260E-01        0.564700E+01
  19980112        0.166667E-05       -0.278000E+01        0.179000E+00       -0.227680E-01        0.564700E+01
  19980113        0.179167E-05       -0.222000E+01        0.176000E+00       -0.238840E-01        0.564700E+01
