 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
       Mon        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    199801        0.118280E-05       -0.154258E+01        0.178935E+00       -0.232734E-01        0.564700E+01
    199802        0.476191E-06       -0.579286E+00        0.173036E+00       -0.279554E-01        0.564700E+01
    199803        0.731317E-05       -0.630968E+00        0.130742E+00       -0.690177E-01        0.564700E+01
    199804        0.812750E-04        0.285133E+01        0.108000E+00       -0.131884E+00        0.564700E+01
    199805        0.275891E-03        0.133697E+02        0.103581E+00       -0.175345E+00        0.564700E+01
    199806        0.456529E-03        0.165363E+02        0.245500E+00       -0.110432E-01        0.564700E+01
    199807        0.486168E-03        0.205019E+02        0.206806E+00       -0.164466E-01        0.564700E+01
    199808        0.433477E-03        0.200365E+02        0.137581E+00       -0.114454E+00        0.564700E+01
    199809        0.269990E-03        0.175927E+02        0.119767E+00       -0.101004E+02        0.564700E+01
    199810        0.102204E-03        0.115600E+02        0.198161E+00       -0.190201E-01        0.564700E+01
    199811        0.396125E-04        0.468467E+01        0.197133E+00       -0.178315E-01        0.564700E+01
    199812        0.107729E-04        0.141548E+01        0.176935E+00       -0.266646E-01        0.564700E+01
    199901        0.786693E-05       -0.154258E+01        0.147903E+00       -0.161168E+00        0.545900E+01
    199902        0.957292E-05       -0.579286E+00        0.193643E+00       -0.183470E-01        0.545900E+01
    199903        0.117970E-04       -0.630968E+00        0.135613E+00       -0.161533E+00        0.545900E+01
    199904        0.663834E-04        0.285133E+01        0.107867E+00       -0.908768E+00        0.545900E+01
    199905        0.202461E-03        0.102868E+02        0.112613E+00       -0.290930E+00        0.545900E+01
    199906        0.449239E-03        0.155000E+02        0.249900E+00       -0.210097E-01        0.545900E+01
    199907        0.535234E-03        0.193545E+02        0.250903E+00       -0.902581E-02        0.545900E+01
    199908        0.463913E-03        0.185297E+02        0.138290E+00       -0.199908E+00        0.545900E+01
