 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
      Year        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
      1998        0.181542E-03        0.887600E+01        0.164581E+00       -0.883257E+00        0.564700E+01
      1999        0.182611E-03        0.808896E+01        0.153795E+00       -0.132339E+02        0.545900E+01
      2000        0.176522E-03        0.670432E+01        0.147486E+00       -0.773769E+01        0.601300E+01
      2001        0.172835E-03        0.677323E+01        0.174518E+00       -0.278069E+00        0.538500E+01
      2002        0.183826E-03        0.672422E+01        0.160458E+00       -0.100622E+02        0.589100E+01
      2003        0.181467E-03        0.663753E+01        0.160277E+00       -0.338795E+01        0.536400E+01
      2004        0.181320E-03        0.697489E+01        0.178934E+00       -0.935092E+00        0.545400E+01
      2005        0.177317E-03        0.742622E+01        0.162277E+00       -0.948619E+01        0.564200E+01
      2006        0.181545E-03        0.825641E+01        0.138342E+00       -0.182638E+02        0.563900E+01
      2007        0.161614E-03        0.826825E+01        0.136759E+00       -0.216524E+02        0.585600E+01
      2008        0.161164E-03        0.697910E+01        0.160833E+00       -0.195274E+01        0.567700E+01
      2009        0.159175E-03        0.665759E+01        0.169507E+00       -0.199254E+01        0.567700E+01
