 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Mon                 fRa                fINP                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                Kp2u                Ku2p                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                 Q10               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm             VNup_MB             VNup_VG             rNleach             bNup_VG            KsNH4_MB            KsNO3_MB                 YgN            Qmax_NH4             Kba_NH4            KsNH4_VG            KsNO3_VG              fpENZN                VNif                VNit             VDenit1             VDenit2             VDenit3             VDenit4               KsNif               KsNit            KsDenit1            KsDenit2            KsDenit3            KsDenit4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    199801        0.200000E+00        0.300000E+00        0.306881E+01        0.147337E+02        0.820007E+01        0.226187E+02        0.226187E+01        0.226187E+03        0.150000E+01        0.600000E+01        0.313050E-02        0.305941E-01        0.188489E-05        0.376978E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.922870E-03        0.501223E-01        0.117061E-03        0.378260E-04        0.313260E+00        0.180000E+01        0.103073E-01        0.108416E-09        0.100000E-02        0.224363E-06        0.543710E-08        0.116930E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.217047E-01        0.715387E-05        0.200000E-01        0.500000E+00        0.678561E-04        0.154561E-03        0.671167E-01        0.574420E-02        0.100000E+03        0.260456E-03        0.390684E-03        0.100000E+01        0.137834E-01        0.352373E+02        0.370518E-01        0.800422E-01        0.104423E+00        0.351613E-01        0.376978E-01        0.452374E-03        0.678561E-03        0.678561E-03        0.678561E-03        0.678561E-03
    199802        0.200000E+00        0.300000E+00        0.329699E+01        0.154600E+02        0.874310E+01        0.236898E+02        0.236898E+01        0.236898E+03        0.150000E+01        0.600000E+01        0.322914E-02        0.308344E-01        0.197414E-05        0.394829E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.991537E-03        0.501223E-01        0.120750E-03        0.396172E-04        0.308244E+00        0.180000E+01        0.103073E-01        0.297140E-09        0.100000E-02        0.224363E-06        0.155057E-07        0.120378E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.233196E-01        0.759175E-05        0.200000E-01        0.500000E+00        0.710692E-04        0.161880E-03        0.144847E+00        0.574420E-02        0.100000E+03        0.279836E-03        0.419753E-03        0.100000E+01        0.148089E-01        0.360636E+02        0.343651E-01        0.717685E-01        0.107202E+00        0.315461E-01        0.394829E-01        0.473794E-03        0.710692E-03        0.710692E-03        0.710692E-03        0.710692E-03
    199803        0.200000E+00        0.300000E+00        0.306680E+01        0.143235E+02        0.809262E+01        0.236304E+02        0.236304E+01        0.236304E+03        0.150000E+01        0.600000E+01        0.322374E-02        0.308215E-01        0.196920E-05        0.393839E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.987648E-03        0.501223E-01        0.120548E-03        0.395179E-04        0.308514E+00        0.180000E+01        0.103073E-01        0.889956E-08        0.100000E-02        0.224363E-06        0.464843E-06        0.112202E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.232282E-01        0.679918E-05        0.200000E-01        0.500000E+00        0.708911E-04        0.161474E-03        0.178404E+00        0.574420E-02        0.100000E+03        0.278738E-03        0.418107E-03        0.100000E+01        0.147508E-01        0.252622E+02        0.383222E-02        0.155691E-02        0.737285E-01        0.639942E-03        0.393839E-01        0.472607E-03        0.708911E-03        0.708911E-03        0.708911E-03        0.708911E-03
    199804        0.200000E+00        0.300000E+00        0.385309E+01        0.158565E+02        0.956998E+01        0.280747E+02        0.280747E+01        0.280747E+03        0.150000E+01        0.600000E+01        0.361123E-02        0.316921E-01        0.233956E-05        0.467912E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.130093E-02        0.501223E-01        0.135038E-03        0.469503E-04        0.290382E+00        0.180000E+01        0.103073E-01        0.423564E-07        0.100000E-02        0.224363E-06        0.247969E-05        0.977480E-04        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.305961E-01        0.773063E-05        0.200000E-01        0.500000E+00        0.842241E-04        0.191844E-03        0.171396E+00        0.574420E-02        0.100000E+03        0.367153E-03        0.550730E-03        0.100000E+01        0.194298E-01        0.257607E+02        0.000000E+00        0.000000E+00        0.741919E-01        0.000000E+00        0.467912E-01        0.561494E-03        0.842241E-03        0.842241E-03        0.842241E-03        0.842241E-03
    199805        0.200000E+00        0.300000E+00        0.871481E+01        0.272069E+02        0.194679E+02        0.453065E+02        0.453065E+01        0.453065E+03        0.150000E+01        0.600000E+01        0.497020E-02        0.343311E-01        0.377554E-05        0.755108E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.274942E-02        0.501223E-01        0.185855E-03        0.757675E-04        0.235616E+00        0.180000E+01        0.103073E-01        0.135448E-06        0.100000E-02        0.224363E-06        0.106996E-04        0.104568E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.646628E-01        0.155508E-04        0.200000E-01        0.500000E+00        0.135919E-03        0.309594E-03        0.267884E-01        0.574420E-02        0.100000E+03        0.775953E-03        0.116393E-02        0.100000E+01        0.410635E-01        0.515134E+02        0.000000E+00        0.000000E+00        0.147862E+00        0.000000E+00        0.755108E-01        0.906129E-03        0.135919E-02        0.135919E-02        0.135919E-02        0.135919E-02
    199806        0.200000E+00        0.300000E+00        0.134025E+02        0.403154E+02        0.302662E+02        0.519914E+02        0.519914E+01        0.519914E+03        0.150000E+01        0.600000E+01        0.544781E-02        0.351279E-01        0.433261E-05        0.866523E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.341115E-02        0.501223E-01        0.203714E-03        0.869469E-04        0.219128E+00        0.180000E+01        0.103073E-01        0.493537E-10        0.100000E-02        0.224363E-06        0.426319E-08        0.203613E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.802257E-01        0.263839E-04        0.200000E-01        0.500000E+00        0.155974E-03        0.355275E-03        0.282965E-02        0.574420E-02        0.100000E+03        0.962710E-03        0.144406E-02        0.100000E+01        0.509466E-01        0.132832E+03        0.319810E+00        0.467599E+00        0.548301E+00        0.391521E+00        0.866523E-01        0.103983E-02        0.155974E-02        0.155974E-02        0.155974E-02        0.155974E-02
    199807        0.200000E+00        0.300000E+00        0.178595E+02        0.492317E+02        0.390952E+02        0.613049E+02        0.613049E+01        0.613049E+03        0.150000E+01        0.600000E+01        0.608591E-02        0.361265E-01        0.510874E-05        0.102175E-02        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.439993E-02        0.501223E-01        0.227575E-03        0.102522E-03        0.198480E+00        0.180000E+01        0.103073E-01        0.465981E-10        0.100000E-02        0.224363E-06        0.452195E-08        0.227466E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.103480E+00        0.341072E-04        0.200000E-01        0.500000E+00        0.183915E-03        0.418917E-03        0.244544E-03        0.574420E-02        0.100000E+03        0.124177E-02        0.186265E-02        0.100000E+01        0.657144E-01        0.183568E+03        0.284366E+00        0.603096E+00        0.596591E+00        0.320925E+00        0.102175E+00        0.122610E-02        0.183915E-02        0.183915E-02        0.183915E-02        0.183915E-02
    199808        0.200000E+00        0.300000E+00        0.155850E+02        0.426379E+02        0.336354E+02        0.601052E+02        0.601052E+01        0.601052E+03        0.150000E+01        0.600000E+01        0.600666E-02        0.360092E-01        0.500876E-05        0.100175E-02        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.426462E-02        0.501223E-01        0.224612E-03        0.100516E-03        0.200903E+00        0.180000E+01        0.103073E-01        0.121996E-06        0.100000E-02        0.224363E-06        0.116340E-04        0.174492E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.100298E+00        0.280971E-04        0.200000E-01        0.500000E+00        0.180315E-03        0.410719E-03        0.217980E-05        0.574420E-02        0.100000E+03        0.120358E-02        0.180537E-02        0.100000E+01        0.636935E-01        0.116502E+03        0.747670E-01        0.163256E+00        0.344080E+00        0.717955E-01        0.100175E+00        0.120210E-02        0.180315E-02        0.180315E-02        0.180315E-02        0.180315E-02
    199809        0.200000E+00        0.300000E+00        0.110665E+02        0.299279E+02        0.229272E+02        0.542717E+02        0.542717E+01        0.542717E+03        0.150000E+01        0.600000E+01        0.560944E-02        0.353937E-01        0.452264E-05        0.904528E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.363935E-02        0.501223E-01        0.209758E-03        0.907603E-04        0.213628E+00        0.180000E+01        0.103073E-01        0.781127E-06        0.100000E-02        0.224363E-06        0.685751E-04        0.111997E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.855927E-01        0.186918E-04        0.200000E-01        0.500000E+00        0.162815E-03        0.370857E-03        0.263481E-11        0.574420E-02        0.100000E+03        0.102711E-02        0.154067E-02        0.100000E+01        0.543549E-01        0.806169E+02        0.464190E-01        0.568946E-01        0.242565E+00        0.406262E-01        0.904528E-01        0.108543E-02        0.162815E-02        0.162815E-02        0.162815E-02        0.162815E-02
    199810        0.200000E+00        0.300000E+00        0.904500E+01        0.308774E+02        0.213861E+02        0.417100E+02        0.417100E+01        0.417100E+03        0.150000E+01        0.600000E+01        0.470684E-02        0.338760E-01        0.347584E-05        0.695167E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.240868E-02        0.501223E-01        0.176007E-03        0.697530E-04        0.245038E+00        0.180000E+01        0.103073E-01        0.873691E-10        0.100000E-02        0.224363E-06        0.648063E-08        0.175851E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.566490E-01        0.186462E-04        0.200000E-01        0.500000E+00        0.125130E-03        0.285018E-03        0.157343E-08        0.574420E-02        0.100000E+03        0.679788E-03        0.101968E-02        0.100000E+01        0.359745E-01        0.976871E+02        0.137487E+00        0.300089E+00        0.309925E+00        0.149806E+00        0.695167E-01        0.834200E-03        0.125130E-02        0.125130E-02        0.125130E-02        0.125130E-02
    199811        0.200000E+00        0.300000E+00        0.522576E+01        0.211815E+02        0.131364E+02        0.305177E+02        0.305177E+01        0.305177E+03        0.150000E+01        0.600000E+01        0.382059E-02        0.321508E-01        0.254314E-05        0.508629E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.147842E-02        0.501223E-01        0.142867E-03        0.510358E-04        0.280837E+00        0.180000E+01        0.103073E-01        0.454250E-10        0.100000E-02        0.224363E-06        0.278499E-08        0.142799E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.347705E-01        0.114603E-04        0.200000E-01        0.500000E+00        0.915532E-04        0.208538E-03        0.105633E-05        0.574420E-02        0.100000E+03        0.417246E-03        0.625868E-03        0.100000E+01        0.220807E-01        0.618418E+02        0.824007E-01        0.200212E+00        0.188407E+00        0.891218E-01        0.508629E-01        0.610355E-03        0.915532E-03        0.915532E-03        0.915532E-03        0.915532E-03
    199812        0.200000E+00        0.300000E+00        0.396026E+01        0.174830E+02        0.102716E+02        0.261653E+02        0.261653E+01        0.261653E+03        0.150000E+01        0.600000E+01        0.344745E-02        0.313329E-01        0.218044E-05        0.436088E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.116251E-02        0.501223E-01        0.128913E-03        0.437571E-04        0.297859E+00        0.180000E+01        0.103073E-01        0.296145E-09        0.100000E-02        0.224363E-06        0.153729E-07        0.128546E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.273407E-01        0.893144E-05        0.200000E-01        0.500000E+00        0.784959E-04        0.178796E-03        0.396309E-05        0.574420E-02        0.100000E+03        0.328088E-03        0.492132E-03        0.100000E+01        0.173624E-01        0.437891E+02        0.475929E-01        0.105980E+00        0.132318E+00        0.467872E-01        0.436088E-01        0.523306E-03        0.784959E-03        0.784959E-03        0.784959E-03        0.784959E-03
    199901        0.200000E+00        0.300000E+00        0.368666E+01        0.139366E+02        0.837838E+01        0.226187E+02        0.226187E+01        0.226187E+03        0.150000E+01        0.600000E+01        0.313050E-02        0.305941E-01        0.188489E-05        0.376978E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.922870E-03        0.501223E-01        0.117061E-03        0.378260E-04        0.313260E+00        0.180000E+01        0.103073E-01        0.150122E-06        0.100000E-02        0.224363E-06        0.770448E-05        0.106635E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.217047E-01        0.634011E-05        0.200000E-01        0.500000E+00        0.678561E-04        0.154561E-03        0.216035E-04        0.574420E-02        0.100000E+03        0.260456E-03        0.390684E-03        0.100000E+01        0.137834E-01        0.274921E+02        0.179834E-01        0.405891E-01        0.809987E-01        0.178553E-01        0.376978E-01        0.452374E-03        0.678561E-03        0.678561E-03        0.678561E-03        0.678561E-03
    199902        0.200000E+00        0.300000E+00        0.431282E+01        0.161001E+02        0.984051E+01        0.236898E+02        0.236898E+01        0.236898E+03        0.150000E+01        0.600000E+01        0.322914E-02        0.308344E-01        0.197414E-05        0.394829E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.991537E-03        0.501223E-01        0.120750E-03        0.396172E-04        0.308244E+00        0.180000E+01        0.103073E-01        0.441152E-10        0.100000E-02        0.224363E-06        0.230308E-08        0.120694E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.233196E-01        0.768616E-05        0.200000E-01        0.500000E+00        0.710692E-04        0.161880E-03        0.260066E-04        0.574420E-02        0.100000E+03        0.279836E-03        0.419753E-03        0.100000E+01        0.148089E-01        0.413794E+02        0.520056E-01        0.125091E+00        0.123373E+00        0.551347E-01        0.394829E-01        0.473794E-03        0.710692E-03        0.710692E-03        0.710692E-03        0.710692E-03
    199903        0.200000E+00        0.300000E+00        0.377232E+01        0.136781E+02        0.835171E+01        0.236304E+02        0.236304E+01        0.236304E+03        0.150000E+01        0.600000E+01        0.322374E-02        0.308215E-01        0.196920E-05        0.393839E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.987648E-03        0.501223E-01        0.120548E-03        0.395179E-04        0.308514E+00        0.180000E+01        0.103073E-01        0.250790E-06        0.100000E-02        0.224363E-06        0.131021E-04        0.756362E-04        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.232282E-01        0.618917E-05        0.200000E-01        0.500000E+00        0.708911E-04        0.161474E-03        0.193110E-04        0.574420E-02        0.100000E+03        0.278738E-03        0.418107E-03        0.100000E+01        0.147508E-01        0.265157E+02        0.195639E-01        0.440049E-01        0.775521E-01        0.193558E-01        0.393839E-01        0.472607E-03        0.708911E-03        0.708911E-03        0.708911E-03        0.708911E-03
    199904        0.200000E+00        0.300000E+00        0.446112E+01        0.135508E+02        0.891143E+01        0.280747E+02        0.280747E+01        0.280747E+03        0.150000E+01        0.600000E+01        0.361123E-02        0.316921E-01        0.233956E-05        0.467912E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.130093E-02        0.501223E-01        0.135038E-03        0.469503E-04        0.290382E+00        0.180000E+01        0.103073E-01        0.101963E-05        0.100000E-02        0.224363E-06        0.570948E-04        0.434625E-04        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.305961E-01        0.619768E-05        0.200000E-01        0.500000E+00        0.842241E-04        0.191844E-03        0.133418E-04        0.574420E-02        0.100000E+03        0.367153E-03        0.550730E-03        0.100000E+01        0.194298E-01        0.263280E+02        0.202964E-01        0.408557E-01        0.806663E-01        0.235829E-01        0.467912E-01        0.561494E-03        0.842241E-03        0.842241E-03        0.842241E-03        0.842241E-03
    199905        0.200000E+00        0.300000E+00        0.832892E+01        0.218957E+02        0.160451E+02        0.394205E+02        0.394205E+01        0.394205E+03        0.150000E+01        0.600000E+01        0.453241E-02        0.335561E-01        0.328504E-05        0.657009E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.220594E-02        0.501223E-01        0.169484E-03        0.659242E-04        0.251668E+00        0.180000E+01        0.103073E-01        0.562078E-06        0.100000E-02        0.224363E-06        0.412736E-04        0.505271E-04        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.518806E-01        0.112484E-04        0.200000E-01        0.500000E+00        0.118261E-03        0.269373E-03        0.425324E-05        0.574420E-02        0.100000E+03        0.622568E-03        0.933852E-03        0.100000E+01        0.329464E-01        0.420781E+02        0.254952E-01        0.464435E-01        0.128352E+00        0.303044E-01        0.657009E-01        0.788410E-03        0.118261E-02        0.118261E-02        0.118261E-02        0.118261E-02
    199906        0.200000E+00        0.300000E+00        0.158524E+02        0.390301E+02        0.311085E+02        0.496176E+02        0.496176E+01        0.496176E+03        0.150000E+01        0.600000E+01        0.528355E-02        0.348670E-01        0.413480E-05        0.826961E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.316344E-02        0.501223E-01        0.197572E-03        0.829772E-04        0.224524E+00        0.180000E+01        0.103073E-01        0.251046E-07        0.100000E-02        0.224363E-06        0.197979E-05        0.191948E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.744000E-01        0.242364E-04        0.200000E-01        0.500000E+00        0.148853E-03        0.339054E-03        0.299956E-05        0.574420E-02        0.100000E+03        0.892800E-03        0.133920E-02        0.100000E+01        0.472471E-01        0.124812E+03        0.329265E+00        0.125639E+00        0.540260E+00        0.410012E+00        0.826961E-01        0.992352E-03        0.148853E-02        0.148853E-02        0.148853E-02        0.148853E-02
