 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
      Year                 fRa                fINP                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                Kp2u                Ku2p                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                 Q10               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm             VNup_MB             VNup_VG             rNleach             bNup_VG            KsNH4_MB            KsNO3_MB                 YgN            Qmax_NH4             Kba_NH4            KsNH4_VG            KsNO3_VG              fpENZN                VNif                VNit             VDenit1             VDenit2             VDenit3             VDenit4               KsNif               KsNit            KsDenit1            KsDenit2            KsDenit3            KsDenit4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
      1998        0.200000E+00        0.300000E+00        0.821660E+01        0.266921E+02        0.188121E+02        0.392193E+02        0.392193E+01        0.392193E+03        0.150000E+01        0.600000E+01        0.444876E-02        0.332058E-01        0.326827E-05        0.653655E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.231897E-02        0.501223E-01        0.166356E-03        0.655878E-04        0.259013E+00        0.180000E+01        0.103073E-01        0.903809E-07        0.100000E-02        0.224363E-06        0.778090E-05        0.143280E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.545391E-01        0.159957E-04        0.200000E-01        0.500000E+00        0.117658E-03        0.267999E-03        0.485804E-01        0.574420E-02        0.100000E+03        0.654470E-03        0.981705E-03        0.100000E+01        0.346346E-01        0.745250E+02        0.892030E-01        0.171576E+00        0.239952E+00        0.983560E-01        0.653655E-01        0.784386E-03        0.117658E-02        0.117658E-02        0.117658E-02        0.117658E-02
      1999        0.200000E+00        0.300000E+00        0.901942E+01        0.231245E+02        0.175278E+02        0.375066E+02        0.375066E+01        0.375066E+03        0.150000E+01        0.600000E+01        0.432795E-02        0.330078E-01        0.312555E-05        0.625109E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.214538E-02        0.501223E-01        0.161838E-03        0.627235E-04        0.263111E+00        0.180000E+01        0.103073E-01        0.550828E-06        0.100000E-02        0.224363E-06        0.350255E-04        0.107815E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.504565E-01        0.132324E-04        0.200000E-01        0.500000E+00        0.112520E-03        0.256295E-03        0.739063E-05        0.574420E-02        0.100000E+03        0.605478E-03        0.908217E-03        0.100000E+01        0.320419E-01        0.645870E+02        0.101964E+00        0.121205E+00        0.225156E+00        0.120458E+00        0.625109E-01        0.750131E-03        0.112520E-02        0.112520E-02        0.112520E-02        0.112520E-02
      2000        0.200000E+00        0.300000E+00        0.344702E+01        0.176057E+02        0.104538E+02        0.357468E+02        0.357468E+01        0.357468E+03        0.150000E+01        0.600000E+01        0.417409E-02        0.326616E-01        0.297890E-05        0.595780E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.202316E-02        0.501223E-01        0.156085E-03        0.597805E-04        0.270321E+00        0.180000E+01        0.103073E-01        0.687781E-06        0.100000E-02        0.224363E-06        0.443707E-04        0.101694E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.475821E-01        0.117877E-04        0.200000E-01        0.500000E+00        0.107240E-03        0.244270E-03        0.208507E-03        0.574420E-02        0.100000E+03        0.570986E-03        0.856478E-03        0.100000E+01        0.302166E-01        0.583483E+02        0.886741E-01        0.143828E+00        0.204018E+00        0.103026E+00        0.595780E-01        0.714935E-03        0.107240E-02        0.107240E-02        0.107240E-02        0.107240E-02
      2001        0.200000E+00        0.300000E+00        0.951216E+01        0.237376E+02        0.179375E+02        0.354601E+02        0.354601E+01        0.354601E+03        0.150000E+01        0.600000E+01        0.416515E-02        0.326784E-01        0.295501E-05        0.591002E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.197031E-02        0.501223E-01        0.155751E-03        0.593012E-04        0.269962E+00        0.180000E+01        0.103073E-01        0.294326E-06        0.100000E-02        0.224363E-06        0.198384E-04        0.116898E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.463390E-01        0.130627E-04        0.200000E-01        0.500000E+00        0.106380E-03        0.242311E-03        0.576371E-03        0.574420E-02        0.100000E+03        0.556068E-03        0.834102E-03        0.100000E+01        0.294272E-01        0.634051E+02        0.102691E+00        0.127846E+00        0.223158E+00        0.121743E+00        0.591002E-01        0.709202E-03        0.106380E-02        0.106380E-02        0.106380E-02        0.106380E-02
      2002        0.200000E+00        0.300000E+00        0.453408E+01        0.197588E+02        0.125265E+02        0.357797E+02        0.357797E+01        0.357797E+03        0.150000E+01        0.600000E+01        0.417667E-02        0.326666E-01        0.298165E-05        0.596329E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.202599E-02        0.501223E-01        0.156182E-03        0.598357E-04        0.270217E+00        0.180000E+01        0.103073E-01        0.640342E-06        0.100000E-02        0.224363E-06        0.375970E-04        0.109091E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.476485E-01        0.127965E-04        0.200000E-01        0.500000E+00        0.107339E-03        0.244495E-03        0.251511E-03        0.574420E-02        0.100000E+03        0.571782E-03        0.857673E-03        0.100000E+01        0.302587E-01        0.637412E+02        0.119495E+00        0.146455E+00        0.239408E+00        0.143542E+00        0.596329E-01        0.715595E-03        0.107339E-02        0.107339E-02        0.107339E-02        0.107339E-02
      2003        0.200000E+00        0.300000E+00        0.954838E+01        0.227210E+02        0.175374E+02        0.352569E+02        0.352569E+01        0.352569E+03        0.150000E+01        0.600000E+01        0.414851E-02        0.326444E-01        0.293808E-05        0.587615E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.195436E-02        0.501223E-01        0.155128E-03        0.589613E-04        0.270669E+00        0.180000E+01        0.103073E-01        0.505729E-06        0.100000E-02        0.224363E-06        0.297976E-04        0.112251E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.459640E-01        0.126877E-04        0.200000E-01        0.500000E+00        0.105771E-03        0.240922E-03        0.687612E-03        0.574420E-02        0.100000E+03        0.551569E-03        0.827353E-03        0.100000E+01        0.291890E-01        0.629104E+02        0.994035E-01        0.160795E+00        0.219056E+00        0.117099E+00        0.587615E-01        0.705138E-03        0.105771E-02        0.105771E-02        0.105771E-02        0.105771E-02
      2004        0.200000E+00        0.300000E+00        0.845291E+01        0.229845E+02        0.168333E+02        0.352517E+02        0.352517E+01        0.352517E+03        0.150000E+01        0.600000E+01        0.416435E-02        0.327276E-01        0.293764E-05        0.587528E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.192699E-02        0.501223E-01        0.155721E-03        0.589525E-04        0.268912E+00        0.180000E+01        0.103073E-01        0.499222E-06        0.100000E-02        0.224363E-06        0.308837E-04        0.111992E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.453202E-01        0.127000E-04        0.200000E-01        0.500000E+00        0.105755E-03        0.240886E-03        0.571772E-03        0.574420E-02        0.100000E+03        0.543843E-03        0.815764E-03        0.100000E+01        0.287802E-01        0.630150E+02        0.116465E+00        0.185983E+00        0.229848E+00        0.138878E+00        0.587528E-01        0.705033E-03        0.105755E-02        0.105755E-02        0.105755E-02        0.105755E-02
      2005        0.200000E+00        0.300000E+00        0.592264E+01        0.199378E+02        0.133627E+02        0.361748E+02        0.361748E+01        0.361748E+03        0.150000E+01        0.600000E+01        0.423135E-02        0.328412E-01        0.301457E-05        0.602913E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.201551E-02        0.501223E-01        0.158226E-03        0.604963E-04        0.266562E+00        0.180000E+01        0.103073E-01        0.466173E-06        0.100000E-02        0.224363E-06        0.369513E-04        0.106566E-03        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.474020E-01        0.111284E-04        0.200000E-01        0.500000E+00        0.108524E-03        0.247194E-03        0.122885E-03        0.574420E-02        0.100000E+03        0.568825E-03        0.853237E-03        0.100000E+01        0.301022E-01        0.543078E+02        0.790220E-01        0.137148E+00        0.186648E+00        0.932041E-01        0.602913E-01        0.723495E-03        0.108524E-02        0.108524E-02        0.108524E-02        0.108524E-02
      2006        0.200000E+00        0.300000E+00        0.567731E+01        0.180654E+02        0.123138E+02        0.374928E+02        0.374928E+01        0.374928E+03        0.150000E+01        0.600000E+01        0.433542E-02        0.330491E-01        0.312440E-05        0.624881E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.212973E-02        0.501223E-01        0.162118E-03        0.627006E-04        0.262239E+00        0.180000E+01        0.103073E-01        0.766099E-06        0.100000E-02        0.224363E-06        0.573373E-04        0.896530E-04        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.500883E-01        0.101183E-04        0.200000E-01        0.500000E+00        0.112479E-03        0.256201E-03        0.324248E-03        0.574420E-02        0.100000E+03        0.601060E-03        0.901590E-03        0.100000E+01        0.318081E-01        0.482570E+02        0.568386E-01        0.865638E-01        0.160588E+00        0.651320E-01        0.624881E-01        0.749857E-03        0.112479E-02        0.112479E-02        0.112479E-02        0.112479E-02
      2007        0.200000E+00        0.300000E+00        0.411296E+01        0.167581E+02        0.105716E+02        0.379878E+02        0.379878E+01        0.379878E+03        0.150000E+01        0.600000E+01        0.436122E-02        0.330534E-01        0.316565E-05        0.633130E-03        0.122890E-03        0.122890E-03        0.122890E-03        0.147568E-02        0.664590E-02        0.750000E+00        0.500000E+00        0.219162E-02        0.501223E-01        0.163082E-03        0.635283E-04        0.262178E+00        0.180000E+01        0.103073E-01        0.800801E-06        0.100000E-02        0.224363E-06        0.595127E-04        0.889959E-04        0.460000E+00        0.390000E+00        0.179400E+00        0.338000E+01        0.515439E-01        0.102759E-04        0.200000E-01        0.500000E+00        0.113963E-03        0.259583E-03        0.972969E-03        0.574420E-02        0.100000E+03        0.618528E-03        0.927791E-03        0.100000E+01        0.327325E-01        0.511524E+02        0.578816E-01        0.970195E-01        0.165922E+00        0.655415E-01        0.633130E-01        0.759756E-03        0.113963E-02        0.113963E-02        0.113963E-02        0.113963E-02
