 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Day                kSOM               kPOM1               kPOM2                kPOM                kMOM                kQOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE                rNH4                fDOM       fNO3_Leaching        GPPscaler_VG             EA_POM1             EA_POM2              EA_MOM             EA_NFix              EA_Nit        EA_Denit_NO3        EA_Denit_NO2         EA_Denit_NO        EA_Denit_N2O               kNFix                kNit          kDenit_NO3          kDenit_NO2           kDenit_NO          kDenit_N2O              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  19980101        0.586833E-04        0.770625E-05        0.332292E-03        0.299875E-03        0.191833E-05        0.209542E-05        0.114367E-04        0.202000E-02        0.127417E-01        0.112000E-03        0.617000E-13        0.232458E-04        0.338292E-04        0.100000E+01        0.113917E-01        0.313125E+00        0.403250E-01        0.639542E+00        0.100000E+01        0.270250E-05        0.623917E+00        0.164000E-03        0.819250E-03        0.445792E-03        0.255208E-07        0.558250E-04        0.371125E-07        0.472375E-07        0.164500E-06        0.202875E-07        0.117338E-06        0.573917E-01        0.409083E-04        0.723125E-04        0.255000E-03        0.276167E-04        0.351042E-16        0.161000E+01        0.161000E+01        0.114667E-06        0.766875E-06       -0.278000E+01        0.158000E+00       -0.327000E-01        0.565000E+01
  19980102        0.569458E-04        0.787542E-05        0.335000E-03        0.302000E-03        0.186333E-05        0.212000E-05        0.266250E-04        0.213000E-02        0.109792E-01        0.114000E-03        0.118904E-12        0.308500E-04        0.448208E-04        0.999042E+00        0.143625E-01        0.311792E+00        0.425500E-01        0.636167E+00        0.100000E+01        0.185000E-04        0.608417E+00        0.172458E-03        0.844625E-03        0.464292E-03        0.265833E-07        0.594958E-04        0.432375E-07        0.639292E-07        0.175458E-06        0.276583E-07        0.584792E-07        0.802667E-01        0.408542E-04        0.952292E-04        0.266000E-03        0.336333E-04        0.368625E-16        0.161000E+01        0.161000E+01        0.252708E-06        0.101742E-05       -0.222000E+01        0.161000E+00       -0.309000E-01        0.565000E+01
  19980103        0.550958E-04        0.768750E-05        0.331000E-03        0.298167E-03        0.179333E-05        0.208167E-05        0.478292E-04        0.202000E-02        0.931083E-02        0.112000E-03        0.190125E-12        0.353667E-04        0.516292E-04        0.999000E+00        0.174000E-01        0.315417E+00        0.440875E-01        0.635000E+00        0.100000E+01        0.296000E-04        0.609583E+00        0.164000E-03        0.814500E-03        0.443375E-03        0.253875E-07        0.576917E-04        0.442208E-07        0.704333E-07        0.170000E-06        0.305792E-07        0.431042E-07        0.902542E-01        0.418792E-04        0.108000E-03        0.265458E-03        0.391375E-04       -0.188167E-16        0.161000E+01        0.161000E+01        0.440792E-06        0.116750E-05       -0.278000E+01        0.163000E+00       -0.298000E-01        0.565000E+01
  19980104        0.542250E-04        0.766458E-05        0.330583E-03        0.297458E-03        0.177000E-05        0.207875E-05        0.770167E-04        0.202000E-02        0.834375E-02        0.112000E-03        0.171875E-12        0.415333E-04        0.606958E-04        0.998917E+00        0.204542E-01        0.316000E+00        0.453750E-01        0.635000E+00        0.100000E+01        0.931000E-04        0.611458E+00        0.163125E-03        0.812083E-03        0.442208E-03        0.253000E-07        0.619125E-04        0.586917E-07        0.117000E-06        0.183000E-06        0.512667E-07        0.365458E-07        0.104125E+00        0.561333E-04        0.179000E-03        0.286000E-03        0.682208E-04        0.133829E-16        0.161000E+01        0.161000E+01        0.742167E-06        0.137125E-05       -0.278000E+01        0.173000E+00       -0.251000E-01        0.565000E+01
  19980105        0.540583E-04        0.780625E-05        0.333000E-03        0.299500E-03        0.178333E-05        0.210333E-05        0.113650E-03        0.213000E-02        0.784333E-02        0.114000E-03        0.214750E-12        0.505083E-04        0.735833E-04        0.998000E+00        0.236083E-01        0.314000E+00        0.466667E-01        0.635000E+00        0.100000E+01        0.115000E-03        0.608625E+00        0.171000E-03        0.837250E-03        0.460417E-03        0.263417E-07        0.658250E-04        0.656625E-07        0.136458E-06        0.195000E-06        0.598708E-07        0.344458E-07        0.110542E+00        0.625708E-04        0.203000E-03        0.296042E-03        0.799875E-04        0.215417E-16        0.161000E+01        0.161000E+01        0.276750E-06        0.166917E-05       -0.222000E+01        0.176000E+00       -0.239000E-01        0.565000E+01
  19980106        0.534583E-04        0.778250E-05        0.332417E-03        0.298750E-03        0.177250E-05        0.210000E-05        0.144208E-03        0.213000E-02        0.725458E-02        0.114000E-03        0.258750E-12        0.574250E-04        0.837042E-04        0.998000E+00        0.268625E-01        0.314000E+00        0.480083E-01        0.635000E+00        0.100000E+01        0.123000E-03        0.610292E+00        0.170417E-03        0.834833E-03        0.459250E-03        0.262708E-07        0.660875E-04        0.669875E-07        0.141000E-06        0.195792E-06        0.618542E-07        0.320958E-07        0.111000E+00        0.647292E-04        0.209375E-03        0.297667E-03        0.843750E-04        0.171021E-16        0.161000E+01        0.161000E+01        0.555292E-06        0.189792E-05       -0.222000E+01        0.177000E+00       -0.235000E-01        0.565000E+01
  19980107        0.529167E-04        0.776000E-05        0.332000E-03        0.298000E-03        0.176333E-05        0.209083E-05        0.171208E-03        0.213000E-02        0.678667E-02        0.114000E-03        0.308250E-12        0.644750E-04        0.940208E-04        0.998000E+00        0.301792E-01        0.314417E+00        0.493750E-01        0.635000E+00        0.100000E+01        0.123000E-03        0.608583E+00        0.170000E-03        0.832375E-03        0.457917E-03        0.262000E-07        0.658917E-04        0.667917E-07        0.140542E-06        0.195000E-06        0.616708E-07        0.304833E-07        0.111000E+00        0.654375E-04        0.208708E-03        0.296958E-03        0.854500E-04        0.566250E-18        0.161000E+01        0.161000E+01        0.283875E-06        0.213500E-05       -0.222000E+01        0.177000E+00       -0.235000E-01        0.565000E+01
  19980108        0.528833E-04        0.789958E-05        0.334083E-03        0.299917E-03        0.178208E-05        0.212000E-05        0.204500E-03        0.224000E-02        0.661417E-02        0.116000E-03        0.410625E-12        0.756292E-04        0.109833E-03        0.998000E+00        0.336000E-01        0.312000E+00        0.508125E-01        0.635000E+00        0.100000E+01        0.108000E-03        0.608542E+00        0.177958E-03        0.857625E-03        0.476458E-03        0.272375E-07        0.675917E-04        0.663250E-07        0.136000E-06        0.200000E-06        0.596667E-07        0.305417E-07        0.111000E+00        0.647167E-04        0.196792E-03        0.296375E-03        0.816333E-04        0.369208E-16        0.161000E+01        0.161000E+01        0.271292E-06        0.250375E-05       -0.167000E+01        0.175000E+00       -0.243000E-01        0.565000E+01
  19980109        0.523792E-04        0.787667E-05        0.333667E-03        0.299000E-03        0.177583E-05        0.211333E-05        0.227625E-03        0.224000E-02        0.628167E-02        0.116000E-03        0.971333E-12        0.835375E-04        0.121500E-03        0.998000E+00        0.371208E-01        0.312000E+00        0.523250E-01        0.635000E+00        0.100000E+01        0.239000E-04        0.610000E+00        0.177000E-03        0.855083E-03        0.475292E-03        0.271625E-07        0.612625E-04        0.457500E-07        0.703500E-07        0.181000E-06        0.304958E-07        0.295417E-07        0.993667E-01        0.452208E-04        0.101917E-03        0.268000E-03        0.421833E-04       -0.290488E-16        0.161000E+01        0.161000E+01        0.515583E-06        0.276792E-05       -0.167000E+01        0.162000E+00       -0.303000E-01        0.565000E+01
  19980110        0.518792E-04        0.785250E-05        0.333000E-03        0.298167E-03        0.177000E-05        0.211000E-05        0.249708E-03        0.224000E-02        0.600833E-02        0.116000E-03        0.427750E-12        0.916167E-04        0.133000E-03        0.998000E+00        0.407208E-01        0.312000E+00        0.538792E-01        0.635000E+00        0.100000E+01        0.130000E-03        0.610250E+00        0.176875E-03        0.852708E-03        0.474083E-03        0.270917E-07        0.686000E-04        0.706250E-07        0.150042E-06        0.203000E-06        0.659917E-07        0.288375E-07        0.111792E+00        0.706792E-04        0.217000E-03        0.301125E-03        0.920000E-04       -0.408479E-16        0.161000E+01        0.161000E+01        0.545833E-06        0.303875E-05       -0.167000E+01        0.178000E+00       -0.231000E-01        0.565000E+01
