 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
       Mon                kSOM               kPOM1               kPOM2                kPOM                kMOM                kQOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE                rNH4                fDOM       fNO3_Leaching        GPPscaler_VG             EA_POM1             EA_POM2              EA_MOM             EA_NFix              EA_Nit        EA_Denit_NO3        EA_Denit_NO2         EA_Denit_NO        EA_Denit_N2O               kNFix                kNit          kDenit_NO3          kDenit_NO2           kDenit_NO          kDenit_N2O              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    199801        0.494757E-04        0.775304E-05        0.329812E-03        0.293906E-03        0.174969E-05        0.208985E-05        0.405073E-03        0.228097E-02        0.590140E-02        0.116925E-03        0.591880E-12        0.159154E-03        0.230599E-03        0.998160E+00        0.672734E-01        0.311645E+00        0.671144E-01        0.635184E+00        0.100000E+01        0.146329E-03        0.609590E+00        0.175737E-03        0.845245E-03        0.473259E-03        0.268981E-07        0.686261E-04        0.719147E-07        0.154993E-06        0.203337E-06        0.680457E-07        0.328238E-07        0.109081E+00        0.766574E-04        0.219626E-03        0.298589E-03        0.912679E-04        0.487417E-17        0.161000E+01        0.161000E+01        0.357421E-06        0.539260E-05       -0.154258E+01        0.178935E+00       -0.232774E-01        0.565000E+01
    199802        0.381554E-04        0.731705E-05        0.315234E-03        0.273482E-03        0.167100E-05        0.205293E-05        0.154518E-02        0.249536E-02        0.403667E-02        0.120571E-03        0.122561E-10        0.574269E-03        0.829524E-03        0.998000E+00        0.230249E+00        0.308107E+00        0.144847E+00        0.635573E+00        0.100000E+01        0.145758E-03        0.607646E+00        0.173612E-03        0.822192E-03        0.487137E-03        0.265871E-07        0.648002E-04        0.623621E-07        0.130924E-06        0.192705E-06        0.575274E-07        0.260762E-07        0.971429E-01        0.701027E-04        0.178258E-03        0.270882E-03        0.702676E-04       -0.183575E-17        0.160167E+01        0.160164E+01        0.137907E-06        0.217914E-04       -0.579286E+00        0.173036E+00       -0.279500E-01        0.565000E+01
    199803        0.286788E-04        0.629591E-05        0.281808E-03        0.237309E-03        0.164813E-05        0.202376E-05        0.461929E-02        0.248323E-02        0.372796E-02        0.112100E-03        0.138827E-08        0.112933E-02        0.163218E-02        0.997909E+00        0.454896E+00        0.308387E+00        0.178402E+00        0.636618E+00        0.100000E+01        0.000000E+00        0.620989E+00        0.149024E-03        0.720606E-03        0.478679E-03        0.246679E-07        0.415871E-04        0.641792E-08        0.264079E-08        0.121349E-06        0.108639E-08        0.220640E-07        0.537263E-01        0.567010E-05        0.362595E-05        0.171296E-03        0.134715E-05       -0.286695E-18        0.157560E+01        0.157555E+01        0.219433E-05        0.565535E-04       -0.630968E+00        0.130742E+00       -0.690000E-01        0.565000E+01
    199804        0.248515E-04        0.612804E-05        0.265929E-03        0.216725E-03        0.226232E-05        0.260196E-05        0.337498E+00        0.338168E-02        0.479535E-02        0.933139E-04        0.159165E-06        0.235029E-02        0.309431E-02        0.962219E+00        0.687889E+00        0.242435E+00        0.171468E+00        0.642843E+00        0.100000E+01        0.000000E+00        0.833554E+00        0.173837E-03        0.794419E-03        0.746863E-03        0.343693E-07        0.386390E-04        0.000000E+00        0.000000E+00        0.110686E-06        0.000000E+00        0.220596E-07        0.291169E-01        0.000000E+00        0.000000E+00        0.130486E-03        0.000000E+00       -0.193195E-17        0.150314E+01        0.150297E+01        0.243846E-04        0.200375E-03        0.285133E+01        0.108000E+00       -0.131890E+00        0.565000E+01
    199805        0.316548E-04        0.831837E-05        0.318206E-03        0.250485E-03        0.510636E-05        0.524669E-05        0.347706E+01        0.649936E-02        0.851343E-02        0.699426E-04        0.916661E-05        0.231128E-02        0.200274E-02        0.688882E+00        0.744617E+00       -0.167233E+00        0.267880E-01        0.639102E+00        0.100000E+01        0.000000E+00        0.195131E+01        0.380663E-03        0.149915E-02        0.242335E-02        0.108876E-06        0.719691E-04        0.000000E+00        0.000000E+00        0.201429E-06        0.000000E+00        0.957931E-07        0.452114E-01        0.000000E+00        0.000000E+00        0.146827E-03        0.000000E+00        0.166145E-17        0.136352E+01        0.136339E+01        0.827655E-04        0.213971E-03        0.133755E+02        0.103581E+00       -0.175239E+00        0.565000E+01
    199806        0.447604E-04        0.109242E-04        0.447246E-03        0.336878E-03        0.954160E-05        0.957993E-05        0.409096E+01        0.756696E-02        0.971296E-02        0.118655E-03        0.458871E-08        0.222806E-02        0.192784E-02        0.582779E+00        0.703822E+00       -0.181171E+00        0.282977E-02        0.635985E+00        0.100000E+01        0.125403E-02        0.484030E+01        0.572368E-03        0.239365E-02        0.503642E-02        0.154433E-06        0.170253E-03        0.489552E-06        0.578253E-06        0.685708E-06        0.503726E-06        0.153897E-06        0.118286E+00        0.267424E-03        0.343926E-03        0.442704E-03        0.231379E-03        0.105797E-17        0.131619E+01        0.131617E+01        0.136963E-03        0.163023E-03        0.165300E+02        0.245500E+00       -0.110467E-01        0.565000E+01
    199807        0.486723E-04        0.121538E-04        0.484000E-03        0.347523E-03        0.124828E-04        0.125070E-04        0.399929E+01        0.101223E-01        0.126875E-01        0.123227E-03        0.396277E-08        0.279604E-02        0.246821E-02        0.540664E+00        0.656657E+00       -0.157738E+00        0.244556E-03        0.635958E+00        0.100000E+01        0.481335E-03        0.574358E+01        0.746543E-03        0.303140E-02        0.767340E-02        0.184905E-06        0.216594E-03        0.397827E-06        0.692434E-06        0.683165E-06        0.377281E-06        0.185575E-06        0.132288E+00        0.193245E-03        0.370872E-03        0.369644E-03        0.169213E-03        0.672368E-18        0.130300E+01        0.130298E+01        0.145858E-03        0.161955E-03        0.205032E+02        0.206806E+00       -0.164568E-01        0.565000E+01
    199808        0.424406E-04        0.104799E-04        0.427257E-03        0.292691E-03        0.119291E-04        0.119513E-04        0.305177E+01        0.910657E-02        0.114515E-01        0.905386E-04        0.874574E-05        0.298920E-02        0.271318E-02        0.509177E+00        0.603397E+00       -0.122160E+00        0.217979E-05        0.636470E+00        0.100000E+01        0.811419E-04        0.464347E+01        0.631597E-03        0.262566E-02        0.719925E-02        0.164906E-06        0.125655E-03        0.959559E-07        0.171968E-06        0.360231E-06        0.774849E-07        0.161633E-06        0.721416E-01        0.479979E-04        0.934093E-04        0.198830E-03        0.388190E-04        0.785456E-19        0.129410E+01        0.129409E+01        0.130038E-03        0.138648E-03        0.200419E+02        0.137581E+00       -0.114477E+00        0.565000E+01
    199809        0.307992E-04        0.781456E-05        0.317976E-03        0.209220E-03        0.910713E-05        0.911566E-05        0.241506E+01        0.613591E-02        0.782516E-02        0.544728E-04        0.536302E-04        0.230485E-02        0.213426E-02        0.422179E+00        0.545047E+00       -0.102579E+00        0.263405E-11        0.637612E+00        0.100000E+01        0.848067E-04        0.219530E+01        0.431790E-03        0.179955E-02        0.505384E-02        0.131725E-06        0.797294E-04        0.538389E-07        0.543269E-07        0.232433E-06        0.392022E-07        0.123273E-06        0.461445E-01        0.259961E-04        0.333595E-04        0.141442E-03        0.221266E-04        0.221402E-17        0.128486E+01        0.128485E+01        0.810014E-04        0.904575E-04        0.175933E+02        0.119767E+00       -0.100866E+02        0.565000E+01
    199810        0.363235E-04        0.799719E-05        0.413548E-03        0.255524E-03        0.112066E-04        0.112402E-04        0.159445E+01        0.365641E-02        0.490738E-02        0.804410E-04        0.406458E-08        0.172984E-02        0.168824E-02        0.455661E+00        0.528039E+00       -0.496487E-01        0.157323E-08        0.636000E+00        0.100000E+01        0.385435E-03        0.931128E+00        0.335118E-03        0.177039E-02        0.469511E-02        0.821257E-07        0.882624E-04        0.147621E-06        0.264341E-06        0.271321E-06        0.135059E-06        0.820570E-07        0.718894E-01        0.948415E-04        0.203793E-03        0.215359E-03        0.906077E-04        0.127530E-17        0.127216E+01        0.127214E+01        0.306601E-04        0.636005E-04        0.115703E+02        0.198161E+00       -0.190277E-01        0.565000E+01
