 Simulation_Period = 19980101 -- 20090831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
      Year                kSOM               kPOM1               kPOM2                kPOM                kMOM                kQOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE                rNH4                fDOM       fNO3_Leaching        GPPscaler_VG             EA_POM1             EA_POM2              EA_MOM             EA_NFix              EA_Nit        EA_Denit_NO3        EA_Denit_NO2         EA_Denit_NO        EA_Denit_N2O               kNFix                kNit          kDenit_NO3          kDenit_NO2           kDenit_NO          kDenit_N2O              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
      1998        0.353708E-04        0.802683E-05        0.358798E-03        0.257154E-03        0.704596E-05        0.719226E-05        0.181728E+01        0.474432E-02        0.650792E-02        0.908083E-04        0.594491E-05        0.169404E-02        0.171248E-02        0.662071E+00        0.531743E+00        0.383870E-01        0.485859E-01        0.636944E+00        0.100000E+01        0.256176E-03        0.203572E+01        0.342027E-03        0.153481E-02        0.329291E-02        0.854395E-07        0.877452E-04        0.120903E-06        0.191250E-06        0.276344E-06        0.114097E-06        0.825032E-07        0.724621E-01        0.746015E-04        0.142030E-03        0.222213E-03        0.683422E-04        0.671739E-18        0.138271E+01        0.138267E+01        0.544635E-04        0.985930E-04        0.887748E+01        0.164581E+00       -0.882117E+00        0.565000E+01
      1999        0.169595E-04        0.620959E-05        0.214158E-03        0.100142E-03        0.832791E-05        0.835333E-05        0.176741E+01        0.303089E-02        0.396647E-02        0.455081E-04        0.384026E-04        0.152755E-02        0.150197E-02        0.348076E+00        0.594860E+00       -0.537348E-01        0.739045E-05        0.636874E+00        0.100000E+01        0.356389E-03        0.232059E+01        0.262845E-03        0.846910E-03        0.349279E-02        0.410615E-07        0.268900E-04        0.499973E-07        0.471649E-07        0.903343E-07        0.492092E-07        0.386577E-07        0.208980E-01        0.320176E-04        0.404170E-04        0.730000E-04        0.299018E-04        0.657992E-18        0.122749E+01        0.122749E+01        0.547837E-04        0.518599E-04        0.808945E+01        0.153795E+00       -0.132075E+02        0.546000E+01
      2000        0.126158E-04        0.182884E-05        0.112417E-03        0.608578E-04        0.463844E-05        0.465234E-05        0.164692E+01        0.274412E-02        0.359981E-02        0.414551E-04        0.409566E-04        0.129136E-02        0.131029E-02        0.345419E+00        0.564546E+00        0.271315E-01        0.208510E-03        0.639610E+00        0.100000E+01        0.331830E-03        0.197056E+01        0.760263E-04        0.442462E-03        0.188959E-02        0.256190E-07        0.882709E-05        0.166541E-07        0.195660E-07        0.277385E-07        0.150976E-07        0.216761E-07        0.594208E-02        0.101733E-04        0.143478E-04        0.223785E-04        0.934035E-05        0.172970E-18        0.128778E+01        0.128779E+01        0.529565E-04        0.449430E-04        0.670508E+01        0.147486E+00       -0.772748E+01        0.601000E+01
      2001        0.188534E-04        0.494177E-05        0.139514E-03        0.731515E-04        0.850721E-05        0.853262E-05        0.169151E+01        0.288811E-02        0.383245E-02        0.510775E-04        0.209988E-04        0.153448E-02        0.152744E-02        0.409694E+00        0.629474E+00       -0.723731E-02        0.576356E-03        0.640608E+00        0.100000E+01        0.454880E-03        0.185472E+01        0.194877E-03        0.531434E-03        0.327174E-02        0.250061E-07        0.427563E-05        0.753124E-08        0.526600E-08        0.993786E-08        0.576748E-08        0.202443E-07        0.278777E-02        0.536962E-05        0.514591E-05        0.872328E-05        0.421928E-05        0.310358E-18        0.131580E+01        0.131580E+01        0.518489E-04        0.534807E-04        0.677312E+01        0.174518E+00       -0.277986E+00        0.538000E+01
      2002        0.134425E-04        0.222898E-05        0.992154E-04        0.492369E-04        0.549362E-05        0.550888E-05        0.175138E+01        0.287743E-02        0.376332E-02        0.455142E-04        0.524293E-04        0.149430E-02        0.149296E-02        0.353574E+00        0.643460E+00       -0.186996E-01        0.251509E-03        0.643030E+00        0.100000E+01        0.472752E-03        0.206285E+01        0.958524E-04        0.409640E-03        0.231585E-02        0.249634E-07        0.361875E-05        0.451410E-08        0.231856E-08        0.375737E-08        0.277937E-08        0.200431E-07        0.209226E-02        0.291789E-05        0.189984E-05        0.297717E-05        0.178250E-05        0.232738E-18        0.133254E+01        0.133255E+01        0.551501E-04        0.485086E-04        0.672499E+01        0.160458E+00       -0.100447E+02        0.589000E+01
      2003        0.183765E-04        0.511941E-05        0.116600E-03        0.584200E-04        0.832421E-05        0.834747E-05        0.171466E+01        0.291946E-02        0.386551E-02        0.515818E-04        0.414631E-04        0.158520E-02        0.158634E-02        0.406093E+00        0.655532E+00       -0.492862E-02        0.687660E-03        0.643902E+00        0.100000E+01        0.358669E-03        0.191112E+01        0.207738E-03        0.465586E-03        0.331760E-02        0.321702E-07        0.462077E-05        0.428660E-08        0.807566E-09        0.113510E-08        0.911411E-09        0.251098E-07        0.273541E-02        0.278761E-05        0.627551E-06        0.941278E-06        0.611380E-06       -0.877520E-18        0.136889E+01        0.136889E+01        0.544411E-04        0.550632E-04        0.663764E+01        0.160277E+00       -0.338450E+01        0.536000E+01
      2004        0.182173E-04        0.506572E-05        0.118189E-03        0.547524E-04        0.854791E-05        0.857144E-05        0.173629E+01        0.278178E-02        0.370565E-02        0.500402E-04        0.411798E-04        0.156912E-02        0.156405E-02        0.407521E+00        0.672761E+00       -0.223342E-01        0.571793E-03        0.642277E+00        0.100000E+01        0.574942E-03        0.193668E+01        0.198103E-03        0.456836E-03        0.327668E-02        0.299973E-07        0.396267E-05        0.326070E-08        0.339044E-09        0.409895E-09        0.610339E-09        0.236266E-07        0.255106E-02        0.240354E-05        0.314137E-06        0.363209E-06        0.465776E-06       -0.107890E-20        0.136238E+01        0.136238E+01        0.544010E-04        0.549503E-04        0.697601E+01        0.178934E+00       -0.933759E+00        0.545000E+01
      2005        0.144654E-04        0.371662E-05        0.977614E-04        0.418361E-04        0.686677E-05        0.688592E-05        0.172280E+01        0.267207E-02        0.353921E-02        0.433819E-04        0.492387E-04        0.161879E-02        0.161764E-02        0.375760E+00        0.682752E+00       -0.186804E-01        0.122883E-03        0.644567E+00        0.100000E+01        0.397914E-03        0.202350E+01        0.142486E-03        0.359737E-03        0.252594E-02        0.277354E-07        0.280307E-05        0.148619E-08        0.943211E-10        0.120855E-09        0.295027E-09        0.196633E-07        0.182029E-02        0.107594E-05        0.949725E-07        0.113463E-06        0.251999E-06        0.693649E-18        0.136268E+01        0.136268E+01        0.531935E-04        0.490636E-04        0.742858E+01        0.162277E+00       -0.946816E+01        0.564000E+01
      2006        0.131044E-04        0.329508E-05        0.792849E-04        0.360170E-04        0.580107E-05        0.581626E-05        0.173015E+01        0.278278E-02        0.366259E-02        0.371548E-04        0.633750E-04        0.152064E-02        0.153323E-02        0.358019E+00        0.626290E+00       -0.250607E-01        0.324245E-03        0.644102E+00        0.100000E+01        0.265049E-03        0.208198E+01        0.131341E-03        0.308044E-03        0.222519E-02        0.394574E-07        0.377549E-05        0.213330E-08        0.239545E-10        0.347883E-10        0.280710E-09        0.286468E-07        0.243891E-02        0.139283E-05        0.234192E-07        0.308962E-07        0.228628E-06        0.128616E-17        0.141022E+01        0.141023E+01        0.544624E-04        0.481319E-04        0.825701E+01        0.138342E+00       -0.182288E+02        0.564000E+01
      2007        0.114818E-04        0.214404E-05        0.680527E-04        0.311717E-04        0.452748E-05        0.453980E-05        0.149122E+01        0.314186E-02        0.410308E-02        0.362112E-04        0.495417E-04        0.145997E-02        0.144241E-02        0.352520E+00        0.541026E+00       -0.445167E-02        0.972990E-03        0.645087E+00        0.100000E+01        0.211095E-03        0.120766E+01        0.889190E-04        0.274665E-03        0.180794E-02        0.442241E-07        0.438665E-05        0.281097E-08        0.186567E-10        0.117008E-10        0.316547E-09        0.311067E-07        0.281722E-02        0.170924E-05        0.173194E-07        0.103071E-07        0.242480E-06       -0.480483E-18        0.145894E+01        0.145895E+01        0.484888E-04        0.441364E-04        0.826819E+01        0.136759E+00       -0.216138E+02        0.586000E+01
