 Simulation_Period = 19980101 -- 20090831
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
    1    1       19980429        0.397720E-03        0.326745E-03        0.161827E-04
    2    1       19980430        0.314080E-03        0.325679E-03        0.255943E-04
    3    1       19980503        0.227490E-03        0.302732E-03        0.283660E-04
    4    1       19980504        0.409280E-03        0.297668E-03        0.312178E-04
    5    1       19980525        0.175370E-03        0.165980E-03        0.515952E-04
    6    1       19980526        0.184410E-03        0.161060E-03        0.494674E-04
    7    1       19980614        0.109890E-03        0.159460E-03        0.738528E-04
    8    1       19980615        0.260160E-03        0.151868E-03        0.611219E-04
    9    1       19980616        0.130330E-03        0.161011E-03        0.659124E-04
   10    1       19980621        0.110000E-03        0.159824E-03        0.655738E-04
   11    1       19980622        0.112640E-03        0.164743E-03        0.708872E-04
   12    1       19980623        0.230920E-03        0.174243E-03        0.804666E-04
   13    1       19980624        0.210250E-03        0.175116E-03        0.901795E-04
   14    1       19980625        0.189600E-03        0.177820E-03        0.849727E-04
   15    1       19980713        0.291970E-03        0.165004E-03        0.752306E-04
   16    1       19980714        0.135190E-03        0.161859E-03        0.767915E-04
   17    1       19980809        0.146710E-03        0.141038E-03        0.768696E-04
   18    1       19980810        0.114860E-03        0.151342E-03        0.742259E-04
   19    1       19980812        0.951530E-04        0.150605E-03        0.726259E-04
   20    1       19980813        0.958990E-04        0.146632E-03        0.709582E-04
   21    1       19980816        0.100250E-03        0.149335E-03        0.738379E-04
   22    1       19980907        0.443570E-04        0.105519E-03        0.442725E-04
   23    1       19980908        0.275650E-04        0.111254E-03        0.507941E-04
   24    1       19980922        0.584440E-04        0.289747E-04        0.270643E-04
   25    1       19980928        0.947550E-04        0.521984E-04        0.465466E-04
   26    1       19980929        0.731960E-04        0.931372E-04        0.434936E-04
   27    1       19980930        0.763710E-04        0.903800E-04        0.365996E-04
   28    1       19990412        0.638300E-04        0.197826E-04        0.131315E-04
   29    1       19990513        0.681300E-04        0.439042E-04        0.250086E-04
   30    1       19990525        0.468140E-04        0.597327E-04        0.339996E-04
   31    1       19990608        0.140370E-03        0.999271E-04        0.607338E-04
   32    1       19990609        0.139660E-03        0.783839E-04        0.591140E-04
   33    1       19990610        0.138970E-03        0.986739E-04        0.639476E-04
   34    1       19990620        0.978490E-04        0.100008E-03        0.572655E-04
   35    1       19990621        0.805840E-04        0.996511E-04        0.586570E-04
   36    1       19990622        0.142400E-03        0.898368E-04        0.594140E-04
   37    1       19990623        0.126710E-03        0.124001E-03        0.816604E-04
   38    1       19990624        0.105420E-03        0.131507E-03        0.838088E-04
   39    1       19990708        0.109990E-03        0.145117E-03        0.914661E-04
   40    1       19990709        0.100700E-03        0.136477E-03        0.897865E-04
   41    1       19990711        0.916620E-04        0.129952E-03        0.778142E-04
   42    1       19990722        0.863940E-04        0.126206E-03        0.746734E-04
   43    1       19990723        0.872550E-04        0.124175E-03        0.720903E-04
   44    1       19990804        0.962820E-04        0.121596E-03        0.732647E-04
   45    1       19990805        0.120780E-03        0.118193E-03        0.745158E-04
   46    1       19990808        0.955820E-04        0.109682E-03        0.755336E-04
   47    1       19990809        0.786970E-04        0.107814E-03        0.760344E-04
   48    1       19990810        0.125820E-03        0.108226E-03        0.729918E-04
   49    1       19990811        0.992600E-04        0.108627E-03        0.748130E-04
   50    1       19990812        0.727250E-04        0.116070E-03        0.718717E-04
   51    1       19990830        0.127980E-03        0.107745E-03        0.656283E-04
   52    1       19990831        0.108860E-03        0.105423E-03        0.660597E-04
   53    1       19990919        0.716260E-04        0.761243E-04        0.439209E-04
   54    1       19990920        0.581390E-04        0.735139E-04        0.449236E-04
   55    1       19991011        0.654480E-04        0.645473E-04        0.307188E-04
   56    1       19991012        0.498840E-04        0.549759E-04        0.188511E-04
   57    1       20000426        0.238870E-04        0.277986E-04        0.157004E-04
   58    1       20000427        0.339560E-04        0.242004E-04        0.136766E-04
   59    1       20000429        0.414820E-04        0.255320E-04        0.175899E-04
   60    1       20000518        0.857360E-04        0.343051E-04        0.298162E-04
   61    1       20000519        0.759400E-04        0.460076E-04        0.298224E-04
   62    1       20000520        0.789800E-04        0.531908E-04        0.341193E-04
   63    1       20000603        0.883700E-04        0.828696E-04        0.509151E-04
   64    1       20000605        0.752430E-05        0.895185E-04        0.565872E-04
   65    1       20000606        0.276360E-04        0.878105E-04        0.546209E-04
   66    1       20000616        0.764050E-04        0.113763E-03        0.736444E-04
   67    1       20000617        0.411890E-04        0.114515E-03        0.723307E-04
   68    1       20000619        0.233750E-03        0.113060E-03        0.700081E-04
   69    1       20000620        0.178250E-03        0.110350E-03        0.731761E-04
   70    1       20000621        0.109540E-03        0.120807E-03        0.868274E-04
   71    1       20000622        0.225640E-03        0.110667E-03        0.741513E-04
   72    1       20000623        0.147690E-03        0.114258E-03        0.879532E-04
   73    1       20000707        0.153570E-03        0.121398E-03        0.761150E-04
   74    1       20000708        0.843570E-04        0.867513E-04        0.513973E-04
   75    1       20000725        0.639160E-04        0.116554E-03        0.746785E-04
   76    1       20000726        0.804560E-04        0.120776E-03        0.793619E-04
   77    1       20000807        0.197920E-04        0.110554E-03        0.708676E-04
   78    1       20000808        0.100000E-05        0.105251E-03        0.684518E-04
   79    1       20000809        0.342260E-05        0.108697E-03        0.718314E-04
   80    1       20000810        0.213120E-04        0.109640E-03        0.696725E-04
   81    1       20000824        0.126410E-03        0.794985E-04        0.495097E-04
   82    1       20000825        0.927230E-04        0.930860E-04        0.577356E-04
   83    1       20000826        0.579760E-04        0.908519E-04        0.577354E-04
   84    1       20000912        0.414930E-04        0.564334E-04        0.513031E-04
   85    1       20000913        0.113560E-04        0.503933E-04        0.436108E-04
   86    1       20001004        0.231530E-04        0.438493E-04        0.212537E-04
   87    1       20001005        0.191230E-04        0.486050E-04        0.217023E-04
   88    1       20001019        0.210770E-04        0.368725E-04        0.153997E-04
   89    1       20001020        0.196360E-04        0.331281E-04        0.105196E-04
   90    1       20001021        0.188360E-04        0.354145E-04        0.124538E-04
   91    1       20010419        0.313460E-04        0.298234E-04        0.127232E-04
   92    1       20010420        0.355940E-04        0.313184E-04        0.136132E-04
   93    1       20010521        0.434000E-04        0.632958E-04        0.368327E-04
   94    1       20010522        0.744010E-05        0.582456E-04        0.322190E-04
   95    1       20010523        0.100000E-05        0.573052E-04        0.304471E-04
   96    1       20010605        0.511830E-04        0.946276E-04        0.555334E-04
   97    1       20010606        0.459550E-04        0.973384E-04        0.534823E-04
   98    1       20010618        0.139810E-03        0.943276E-04        0.494807E-04
   99    1       20010619        0.137430E-03        0.109028E-03        0.610319E-04
  100    1       20010620        0.144490E-03        0.111665E-03        0.644100E-04
  101    1       20010621        0.160260E-03        0.104326E-03        0.556786E-04
  102    1       20010622        0.861080E-04        0.106855E-03        0.585039E-04
  103    1       20010702        0.302290E-04        0.118817E-03        0.736817E-04
  104    1       20010703        0.183070E-04        0.110970E-03        0.721488E-04
  105    1       20010718        0.255000E-03        0.126397E-03        0.763580E-04
  106    1       20010719        0.191890E-03        0.125172E-03        0.749443E-04
  107    1       20010720        0.223970E-03        0.121309E-03        0.757863E-04
  108    1       20010806        0.210600E-03        0.961512E-04        0.675270E-04
  109    1       20010807        0.130600E-03        0.787052E-04        0.498333E-04
  110    1       20010808        0.127560E-03        0.104509E-03        0.767728E-04
  111    1       20010809        0.100000E-05        0.938511E-04        0.650511E-04
  112    1       20010810        0.394590E-04        0.793190E-04        0.498710E-04
  113    1       20010828        0.117710E-03        0.933543E-04        0.507805E-04
  114    1       20010830        0.148660E-03        0.892785E-04        0.474683E-04
  115    1       20010831        0.667320E-04        0.900504E-04        0.506942E-04
  116    1       20010925        0.463060E-04        0.634922E-04        0.376476E-04
  117    1       20010926        0.406380E-04        0.629755E-04        0.410586E-04
  118    1       20010927        0.541560E-04        0.689943E-04        0.329664E-04
  119    1       20011023        0.529540E-04        0.434535E-04        0.108934E-04
  120    1       20011024        0.465790E-04        0.416187E-04        0.948145E-05
  121    1       20011115        0.425080E-04        0.384440E-04        0.797143E-05
  122    1       20011116        0.308290E-04        0.372265E-04        0.642444E-05
  123    1       20020529        0.143490E-03        0.833612E-04        0.489525E-04
  124    1       20020530        0.101940E-03        0.913678E-04        0.552742E-04
  125    1       20020531        0.859950E-04        0.913188E-04        0.560451E-04
  126    1       20020611        0.105530E-03        0.105970E-03        0.675691E-04
  127    1       20020612        0.128450E-03        0.108640E-03        0.726815E-04
  128    1       20020627        0.241030E-03        0.136647E-03        0.919725E-04
  129    1       20020628        0.207180E-03        0.129195E-03        0.833625E-04
  130    1       20020723        0.104780E-03        0.105794E-03        0.718236E-04
  131    1       20020724        0.130570E-03        0.105993E-03        0.645556E-04
  132    1       20020815        0.116680E-03        0.101260E-03        0.621771E-04
  133    1       20020816        0.849660E-04        0.991614E-04        0.599316E-04
  134    1       20020819        0.182020E-04        0.850964E-04        0.529769E-04
  135    1       20020903        0.139190E-03        0.865569E-04        0.562959E-04
  136    1       20020904        0.927850E-04        0.933537E-04        0.602084E-04
  137    1       20020905        0.118310E-03        0.966289E-04        0.657043E-04
  138    1       20020919        0.117780E-03        0.834999E-04        0.516883E-04
  139    1       20020920        0.920720E-04        0.795486E-04        0.475177E-04
  140    1       20021014        0.411040E-04        0.414335E-04        0.219139E-04
  141    1       20021015        0.351900E-04        0.390729E-04        0.202277E-04
  142    1       20030428        0.619720E-04        0.431551E-04        0.234490E-04
  143    1       20030429        0.319110E-04        0.404537E-04        0.212604E-04
  144    1       20030520        0.117320E-03        0.673962E-04        0.381330E-04
  145    1       20030521        0.923750E-04        0.619900E-04        0.355677E-04
  146    1       20030612        0.107570E-03        0.119616E-03        0.682334E-04
  147    1       20030613        0.150730E-03        0.128642E-03        0.751617E-04
  148    1       20030701        0.238210E-03        0.130300E-03        0.752499E-04
  149    1       20030702        0.239610E-03        0.125478E-03        0.687389E-04
  150    1       20030728        0.998870E-04        0.104952E-03        0.557542E-04
  151    1       20030729        0.105520E-03        0.119962E-03        0.715890E-04
  152    1       20030821        0.138350E-03        0.119806E-03        0.698170E-04
  153    1       20030822        0.884100E-04        0.111881E-03        0.639832E-04
  154    1       20030908        0.139530E-05        0.777766E-04        0.493172E-04
  155    1       20030909        0.235050E-05        0.788823E-04        0.500012E-04
  156    1       20031007        0.384880E-04        0.656514E-04        0.298081E-04
  157    1       20031008        0.729350E-04        0.626179E-04        0.256598E-04
  158    1       20040419        0.114700E-03        0.343932E-04        0.166555E-04
  159    1       20040420        0.588890E-04        0.369750E-04        0.185387E-04
  160    1       20040525        0.353720E-04        0.621634E-04        0.369763E-04
  161    1       20040526        0.144280E-04        0.687397E-04        0.399012E-04
  162    1       20040527        0.339050E-04        0.785158E-04        0.482271E-04
  163    1       20040614        0.120340E-03        0.122927E-03        0.750743E-04
